0	1	2
0	47	2
0	61	2
0	66	1
0	72	2
0	79	1
0	95	2
0	109	2
0	119	2
1	36	2
1	45	1
1	54	2
1	55	2
1	77	2
1	93	2
1	97	1
2	5	2
2	34	2
2	108	1
2	113	1
2	120	1
2	127	2
3	84	1
4	25	2
4	36	1
4	43	1
4	65	2
4	99	2
4	116	2
5	25	2
5	74	2
5	79	1
5	92	2
5	122	1
6	23	1
6	49	2
6	58	1
6	110	1
6	115	2
6	120	1
7	14	2
7	16	2
7	31	2
7	43	2
7	50	1
7	61	1
7	91	1
7	117	2
7	118	2
8	19	2
8	30	1
8	87	2
8	120	2
9	8	2
9	15	1
9	20	2
9	26	2
9	42	1
9	51	2
9	61	1
9	64	2
9	68	1
9	87	1
9	117	2
9	125	2
10	54	1
10	55	1
10	88	2
10	90	2
10	116	1
11	29	2
11	30	1
11	37	2
11	120	1
12	15	2
12	18	1
12	32	2
12	33	1
12	59	2
12	65	1
12	93	1
12	121	1
13	27	1
13	32	1
13	51	2
13	61	1
13	68	2
13	73	2
13	91	2
13	94	2
14	6	2
14	11	1
14	18	2
14	30	1
14	35	2
14	70	1
14	83	2
14	105	1
14	111	2
15	25	2
15	33	2
15	65	2
15	123	1
16	15	1
16	46	2
16	82	2
17	14	1
17	38	1
17	41	2
17	59	2
17	81	2
17	85	2
17	98	2
17	110	2
17	117	2
18	11	1
18	13	1
18	53	2
18	86	2
18	101	1
18	104	2
18	120	1
19	14	1
19	39	2
20	0	1
20	22	1
20	50	1
20	61	2
20	65	2
20	96	2
20	122	1
21	1	1
21	15	1
21	40	2
21	57	2
21	97	1
21	101	2
21	107	1
22	1	2
22	12	2
22	21	1
22	22	1
22	25	2
22	81	1
22	82	2
22	104	2
22	111	1
23	51	2
23	112	2
24	29	1
24	35	2
24	38	1
24	56	2
24	101	1
25	3	2
25	6	1
25	14	1
25	45	2
25	47	2
25	48	2
25	123	2
26	6	1
26	11	1
26	19	2
26	63	1
26	66	2
26	69	2
26	78	1
26	90	1
26	108	1
26	118	2
27	6	2
27	39	2
27	49	1
27	55	2
27	66	1
27	112	1
27	118	1
28	14	1
28	72	2
28	75	1
28	102	2
29	1	2
29	7	2
29	38	1
29	66	2
29	71	1
29	80	2
29	93	1
29	115	2
29	124	2
30	20	1
30	53	2
30	75	1
30	97	1
31	60	2
31	66	1
31	74	2
31	104	1
31	113	2
31	123	2
32	32	2
32	65	2
32	81	2
32	90	1
32	100	1
32	112	1
33	3	2
33	14	2
33	26	1
33	55	1
33	63	2
33	85	1
33	92	1
33	107	2
33	112	2
33	125	2
34	14	2
34	19	2
34	26	1
34	28	2
34	29	1
34	30	1
34	71	2
34	103	2
34	119	1
35	30	2
35	36	2
35	89	2
35	111	2
35	122	1
36	7	2
36	10	1
36	24	1
36	49	2
36	50	2
36	68	1
36	78	1
36	127	1
37	18	2
37	42	2
37	74	1
37	85	1
37	107	2
38	26	1
38	31	2
38	53	1
38	60	2
38	80	2
38	87	1
38	95	1
39	13	2
39	23	2
39	63	2
39	68	2
39	74	1
39	75	1
39	84	1
39	99	1
39	112	1
40	29	2
40	35	2
40	38	2
40	44	2
40	82	1
40	89	1
40	91	2
40	94	1
40	102	1
40	106	1
40	113	2
41	6	2
41	8	1
41	10	2
41	18	2
41	33	1
42	12	1
42	40	2
42	62	1
43	9	2
43	17	2
43	21	1
43	59	1
43	60	2
43	87	2
43	91	2
43	113	2
43	118	2
43	120	2
44	12	1
44	22	1
44	38	1
44	85	1
44	121	1
45	5	1
45	22	2
45	38	2
45	55	2
45	56	1
45	122	1
45	126	2
46	48	2
46	50	1
46	58	2
46	109	1
46	117	2
46	123	1
46	127	2
47	12	2
47	33	2
47	52	2
47	53	1
47	63	2
47	77	2
48	23	1
48	31	2
48	37	1
48	45	1
48	50	2
48	72	1
48	77	2
48	81	1
48	112	1
48	118	2
49	5	1
49	8	2
49	20	1
49	41	1
49	74	2
49	86	1
49	109	1
49	127	2
50	7	1
50	19	1
50	43	1
50	77	1
50	79	2
50	123	1
51	19	2
51	40	2
51	64	1
51	105	2
52	66	1
52	77	1
52	93	1
52	107	2
52	108	2
52	110	2
52	127	2
53	69	1
53	81	1
53	101	2
53	111	1
54	20	1
54	55	1
54	60	2
54	78	2
54	98	1
54	103	2
54	112	1
55	8	2
55	20	1
55	32	2
55	82	2
55	89	1
55	103	1
