0	1	2
0	22	2
0	28	2
0	41	1
0	71	1
0	75	2
0	78	1
0	83	1
0	85	2
0	102	2
0	109	1
0	117	2
0	119	1
0	133	1
1	23	2
1	33	2
1	34	2
1	37	1
1	48	1
1	70	1
1	103	2
1	109	1
1	132	1
1	137	2
2	24	1
2	51	2
2	76	1
2	125	2
2	134	2
2	136	2
3	29	1
3	44	2
3	91	1
3	95	1
3	115	1
3	130	2
3	136	1
4	9	1
4	39	1
4	41	1
4	46	2
4	51	2
4	57	2
4	76	1
4	84	1
4	85	2
4	105	2
5	56	2
5	92	2
5	136	1
5	137	2
6	59	1
6	82	2
6	115	1
7	1	1
7	7	1
7	19	2
7	23	2
7	34	1
7	71	2
7	74	1
7	77	2
7	94	2
7	98	2
7	138	1
8	6	2
8	7	1
8	25	2
8	48	2
8	149	1
9	68	2
9	94	2
9	110	2
9	112	1
9	122	2
9	125	2
9	138	2
10	20	1
10	26	2
10	37	1
10	54	1
10	60	2
10	70	1
10	115	2
10	121	1
10	127	1
10	132	2
10	144	2
11	21	1
11	43	1
11	55	1
11	57	1
11	65	1
11	70	1
11	93	1
11	95	2
11	125	1
11	130	1
11	134	1
12	0	2
12	28	2
12	33	2
12	47	1
12	52	1
12	61	1
12	101	2
12	104	1
12	107	2
12	149	2
13	104	2
13	117	1
13	121	1
13	135	1
14	5	1
14	38	1
14	96	2
14	97	2
14	113	1
14	119	1
14	129	1
15	2	2
15	69	1
15	89	2
15	112	2
15	114	1
15	125	1
15	139	2
16	26	1
16	50	2
16	57	1
16	58	1
16	65	1
16	73	1
16	106	2
16	116	1
16	117	2
16	134	1
16	138	2
17	14	2
17	26	2
17	29	2
17	50	2
17	61	2
17	68	2
17	74	2
17	82	2
17	96	1
17	114	1
17	117	2
17	122	2
17	123	1
17	141	1
17	142	1
18	16	2
18	44	2
18	52	1
18	88	2
18	94	1
18	114	1
18	116	2
19	26	1
19	31	1
19	33	1
19	34	2
19	48	1
19	50	2
19	72	2
19	80	2
19	130	2
19	145	2
20	9	1
20	10	1
20	33	2
20	35	1
20	42	1
20	119	1
20	121	2
20	127	1
20	148	2
21	0	2
21	7	1
21	39	2
21	41	2
21	57	1
21	70	2
21	84	2
21	148	2
22	8	2
22	33	2
22	62	2
22	80	2
22	106	1
22	135	2
23	16	1
23	18	2
23	35	2
23	70	2
23	96	2
23	119	2
23	141	2
23	144	1
23	147	2
24	66	1
24	79	1
24	94	2
24	126	2
24	130	2
25	2	1
25	38	1
25	47	1
25	70	1
25	87	1
25	93	1
25	106	1
25	123	1
26	4	1
26	24	2
26	32	1
26	40	1
26	41	1
26	101	2
26	112	1
26	128	2
27	6	1
27	21	1
27	45	1
27	70	2
27	106	2
28	13	2
28	52	2
28	72	1
28	106	1
28	141	1
29	25	2
29	35	1
29	38	1
29	42	1
29	43	2
29	59	1
29	68	1
29	71	2
29	88	1
29	98	2
29	106	2
29	121	2
29	136	1
30	4	1
30	49	1
30	50	1
30	70	2
30	112	2
30	122	1
30	126	2
30	128	1
31	29	1
31	61	1
31	86	2
31	88	1
31	97	1
31	118	1
31	121	2
32	34	2
32	73	1
32	77	2
32	78	2
32	120	1
33	55	1
33	59	2
33	79	2
33	97	1
33	107	2
34	25	1
34	53	1
34	60	2
34	84	1
34	85	2
34	100	2
34	114	1
34	139	2
35	2	2
35	13	1
35	27	2
35	33	2
35	49	1
35	87	1
36	14	1
36	31	1
36	42	1
36	97	2
36	139	1
37	8	2
37	29	1
37	39	1
37	72	1
37	82	1
37	120	1
37	139	1
37	140	2
37	146	2
38	21	1
38	58	2
38	87	1
38	107	1
38	111	1
39	28	1
39	67	1
39	86	2
39	114	1
39	117	2
39	143	1
40	14	2
40	22	1
40	39	2
40	40	1
40	52	2
41	0	2
41	31	2
41	65	1
41	85	2
41	126	2
42	9	1
42	90	1
42	95	1
42	101	1
42	103	2
42	126	1
42	137	2
43	18	1
43	40	2
43	56	1
43	64	2
43	86	2
43	88	1
43	103	1
43	137	2
44	37	2
44	62	2
44	64	2
44	103	1
44	104	1
44	134	2
44	147	2
45	11	1
45	28	2
45	36	2
45	46	1
45	57	1
45	66	1
45	88	2
