0	1	2
0	14	1
0	17	2
0	31	2
0	44	2
0	65	2
0	67	2
0	69	1
0	74	1
0	80	1
1	6	2
1	12	2
1	16	1
1	37	1
1	40	2
1	41	2
1	69	2
1	99	1
2	15	1
2	18	2
2	34	2
2	36	2
2	89	2
2	93	1
3	2	2
3	59	1
3	71	2
3	89	1
4	11	2
4	21	2
4	27	2
4	97	2
5	34	2
5	54	1
5	71	1
5	80	2
5	88	2
6	22	1
6	27	2
6	63	1
6	70	2
6	80	1
6	84	1
6	86	1
7	14	2
7	27	1
7	59	1
7	61	1
8	27	1
8	88	2
8	94	2
9	18	1
9	72	2
9	91	2
10	6	1
10	18	2
10	31	2
10	44	1
10	77	1
10	93	1
11	4	2
11	27	1
11	41	1
11	80	1
11	85	1
12	8	1
12	9	2
12	12	1
12	34	1
12	79	1
13	98	1
14	8	2
14	36	2
14	82	2
14	83	1
14	92	1
14	95	2
15	2	1
15	10	1
15	12	2
15	46	1
15	75	1
15	79	1
15	82	1
15	93	1
16	1	2
16	10	1
16	44	1
16	68	2
16	86	1
16	91	2
17	10	2
17	22	1
17	31	1
17	32	2
17	45	2
17	48	1
17	60	2
17	84	2
18	17	2
18	27	2
18	33	1
18	45	1
18	46	1
18	68	1
19	8	2
19	45	1
19	69	1
19	79	1
19	87	2
19	93	1
20	46	2
20	96	2
21	27	1
21	43	2
22	17	2
22	31	1
22	48	2
22	53	1
22	83	2
22	99	1
23	36	1
23	38	2
23	42	1
23	80	2
23	92	2
24	50	2
24	54	2
24	56	2
24	66	1
24	73	1
24	93	1
24	94	2
25	0	2
25	14	2
25	27	2
25	33	2
25	47	1
25	57	1
25	59	2
25	61	2
25	66	2
25	81	2
25	99	2
26	3	1
26	19	1
26	25	1
26	32	1
26	33	1
26	72	2
26	99	2
27	31	1
27	39	1
27	47	1
27	82	1
27	89	2
27	93	1
28	15	1
28	40	1
28	48	1
28	50	1
28	51	1
28	90	1
29	2	2
29	8	2
29	10	1
29	27	2
29	62	1
29	83	2
29	86	2
30	5	2
30	64	1
30	91	2
31	21	1
31	24	2
31	46	2
31	47	1
31	51	2
31	54	1
31	87	2
32	7	1
32	9	2
32	29	2
32	42	2
32	50	2
32	59	1
32	94	2
