FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: D:\My Code\Python_code\universal structural patterns in SNN\model\network\generated\trial\BN_n_150_p_0.05.txt
Network type: Directed
Number of nodes: 150
Number of edges: 1099
Number of single edges: 1063
Number of mutual edges: 36
Number of edge colors: 2

Algorithm: enumeration
Subgraph size: 3

Generated 1000 random networks
   with globally constant number of bidirectional edges,
   3 exchanges per edge and 3 tries per edge.

14841 subgraphs were enumerated in the original network.
14998918 subgraphs were enumerated in the random networks.
15013759 subgraphs were enumerated in all networks.

For the random networks: 4119246 tries were made, 3159747 were successful.
Randomization took 4.207 seconds.
Enumeration took 7.96 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

12,000,11.684%,11.301%,0.0024839,1.5405,0.069
,100
,020

36,000,11.232%,11.343%,0.0019812,-0.55726,0.719
,200
,100

12,000,11.219%,11.287%,0.002512,-0.27113,0.597
,001
,200

12,000,11.178%,11.712%,0.0024272,-2.1978,0.982
,001
,100

12,000,10.949%,10.836%,0.002384,0.4746,0.331
,200
,020

6,000,10.882%,11.358%,0.0019836,-2.4001,0.985
,000
,210

6,000,6.1182%,5.8936%,0.0017113,1.3122,0.101
,000
,110

36,000,6.0373%,5.9085%,0.0018358,0.70187,0.247
,100
,100

6,000,5.3972%,5.4446%,0.0016574,-0.28573,0.605
,000
,220

36,000,5.1681%,5.4419%,0.0017793,-1.5385,0.938
,200
,200

164,010,0.51883%,0.4766%,0.00056008,0.75398,0.245
,002
,020

38,000,0.51209%,0.29866%,0.0004445,4.8018,0
,200
,120

38,000,0.51209%,0.2946%,0.00044994,4.8339,0
,200
,210

164,010,0.50536%,0.43728%,0.00052896,1.287,0.104
,100
,100

38,000,0.50536%,0.3188%,0.00045678,4.0841,0
,100
,110

14,000,0.49862%,0.414%,0.00053677,1.5765,0.061
,002
,220

164,010,0.46493%,0.42334%,0.00051573,0.80632,0.204
,100
,200

164,020,0.41776%,0.46132%,0.00053871,-0.80849,0.798
,200
,200

14,000,0.41102%,0.37715%,0.00050524,0.67038,0.25
,001
,210

14,000,0.40429%,0.29131%,0.00044946,2.5136,0.004
,002
,110

38,000,0.39755%,0.29794%,0.00043626,2.2833,0.019
,100
,220

14,000,0.37059%,0.43178%,0.00054123,-1.1306,0.879
,002
,120

14,000,0.35712%,0.39365%,0.00051267,-0.71256,0.745
,001
,110

14,000,0.35712%,0.29348%,0.00045148,1.4097,0.082
,001
,120

140,010,0.35712%,0.30745%,0.00042864,1.1588,0.124
,001
,200

164,010,0.35038%,0.31225%,0.00044802,0.85108,0.198
,200
,200

164,010,0.35038%,0.31144%,0.00047621,0.81766,0.206
,200
,020

164,010,0.32343%,0.32573%,0.00046327,-0.049723,0.506
,200
,010

14,000,0.29648%,0.28108%,0.00046523,0.33102,0.354
,001
,220

164,010,0.28974%,0.33024%,0.00048762,-0.83069,0.793
,200
,100

38,000,0.2291%,0.30821%,0.00043175,-1.8324,0.977
,100
,210

38,000,0.22236%,0.31052%,0.00046515,-1.8954,0.977
,100
,120

14,000,0.21562%,0.28199%,0.00045141,-1.4703,0.941
,002
,210

140,010,0.21562%,0.29403%,0.00044439,-1.7644,0.962
,002
,200

38,000,0.18193%,0.28621%,0.00042643,-2.4454,0.994
,200
,220

38,000,0.16171%,0.30988%,0.00043626,-3.3963,1
,200
,110

140,010,0.12129%,0.10479%,0.00027025,0.61051,0.236
,001
,100

140,020,0.087595%,0.093819%,0.00024384,-0.25525,0.547
,002
,200

46,000,0.03369%,0.0042281%,5.1093e-005,5.7664,0
,201
,210

166,020,0.03369%,0.01213%,8.8647e-005,2.4322,0.007
,200
,210

78,002,0.03369%,0.016689%,0.0001026,1.657,0.036
,001
,210

46,000,0.03369%,0.0097885%,8.0717e-005,2.9612,0.001
,102
,220

78,001,0.026952%,0.011581%,8.7139e-005,1.764,0.028
,001
,210

166,010,0.026952%,0.0063474%,6.5764e-005,3.1331,0.005
,100
,110

46,000,0.026952%,0.0071286%,6.6812e-005,2.9671,0.003
,101
,220

102,020,0.020214%,0.0073485%,7.0808e-005,1.817,0.029
,002
,210

102,002,0.020214%,0.011104%,8.1612e-005,1.1163,0.074
,200
,220

46,000,0.020214%,0.0075013%,6.9571e-005,1.8273,0.024
,102
,210

102,001,0.013476%,0.01123%,8.7913e-005,0.25552,0.251
,100
,110

166,010,0.013476%,0.011764%,9.0994e-005,0.18818,0.27
,100
,210

78,001,0.013476%,0.0068943%,6.8654e-005,0.9587,0.104
,001
,110

166,010,0.013476%,0.0054417%,6.218e-005,1.2921,0.054
,100
,220

102,002,0.013476%,0.0076827%,7.0488e-005,0.82191,0.107
,200
,110

102,002,0.013476%,0.0080681%,7.075e-005,0.7644,0.113
,100
,110

166,010,0.013476%,0.0081294%,7.3629e-005,0.72618,0.117
,200
,220

102,010,0.013476%,0.0075297%,7.0527e-005,0.84315,0.114
,002
,210

102,010,0.0067381%,0.010156%,8.3492e-005,-0.40935,0.453
,001
,210

78,002,0.0067381%,0.0083805%,7.3109e-005,-0.22465,0.351
,002
,220

46,000,0.0067381%,0.0048151%,5.8443e-005,0.32903,0.156
,101
,110

102,010,0.0067381%,0.0079225%,7.3619e-005,-0.16089,0.341
,001
,220

78,002,0.0067381%,0.013216%,9.4686e-005,-0.68411,0.581
,002
,210

78,002,0.0067381%,0.011655%,8.7878e-005,-0.55954,0.532
,001
,110

174,020,0.0067381%,0.0003802%,1.6316e-005,3.8968,0.003
,101
,110

102,001,0.0067381%,0.010675%,8.2424e-005,-0.47764,0.473
,200
,110

166,010,0.0067381%,0.0088745%,7.6629e-005,-0.2788,0.387
,200
,210

102,002,0.0067381%,0.011518%,8.7678e-005,-0.54516,0.501
,200
,210

