Id,Source,Target,Weight
0,0,8,-0.44426724
1,0,17,0.71483934
2,0,29,-0.3953241
3,0,38,-0.61382085
4,0,69,1.137547
5,0,77,-0.4815172
6,0,92,0.8253696
7,0,113,-0.6057668
8,0,118,1.1190897
9,0,127,1.0102615
10,1,81,-1.5174351
11,2,7,-0.8886926
12,2,31,-0.33611262
13,2,51,0.21663925
14,2,90,0.2278567
15,2,123,0.2074778
16,3,2,0.25372642
17,3,16,-0.2407083
18,3,21,-0.40216565
19,3,29,0.8342675
20,3,53,-0.4075882
21,3,74,-0.27062172
22,3,108,-0.82400894
23,3,111,1.1886922
24,3,115,-0.7480253
25,3,119,1.1038368
26,4,24,0.43955016
27,4,29,0.33286816
28,4,57,-0.32746032
29,4,59,-0.27080068
30,4,75,0.17578179
31,4,102,0.44167373
32,4,111,0.9765233
33,4,119,-0.59042895
34,5,5,0.42805108
35,5,16,-0.8338184
36,5,31,-0.34441048
37,5,37,-0.07912705
38,5,69,-0.45619303
39,5,82,-0.037824035
40,5,112,-0.5100664
41,5,124,-0.25041556
42,6,16,-0.5510453
43,6,101,0.34738514
44,6,102,-0.1393065
45,6,111,0.551501
46,6,115,-0.18025921
47,7,15,-0.07203493
48,7,43,-0.2965059
49,7,66,-0.16601019
50,7,90,-0.5900225
51,8,7,1.6574326
52,8,17,-0.51257354
53,8,28,0.5015116
54,8,53,-0.4362534
55,8,72,-0.24347813
56,8,94,0.6575478
57,8,106,-0.53359866
58,8,122,0.29276702
59,9,3,0.13303246
60,9,96,-0.8533874
61,9,107,0.7172897
62,9,125,0.76216376
63,10,4,0.3623823
64,10,35,0.50563675
65,11,4,-0.25440502
66,11,20,-1.2526385
67,11,86,-0.4948067
68,12,5,0.75110584
69,12,106,-0.86352074
70,13,13,1.6741781
71,13,14,-0.18449326
72,13,15,-0.32044908
73,13,115,0.8833877
74,14,14,1.0565158
75,14,18,0.2387754
76,14,23,-0.4793968
77,14,40,0.3328756
78,14,47,-1.5702771
79,14,51,-0.7706443
80,14,63,-0.6005024
81,14,100,-0.55291206
82,15,7,0.3937396
83,15,13,-0.2136168
84,15,33,-0.06333032
85,15,34,0.54370534
86,15,69,0.4108088
87,15,70,0.5519724
88,15,92,0.37811673
89,16,14,0.36020654
90,16,30,-0.8053362
91,16,54,-0.86937964
92,16,100,0.9733266
93,17,25,0.28160945
94,17,39,0.13758844
95,17,95,0.86771625
96,18,31,-0.59287405
97,18,50,1.5286671
98,18,58,0.28401983
99,18,105,-0.2738036
100,18,110,0.7350798
101,18,125,-1.1610596
102,19,6,0.27890024
103,19,62,-0.20339663
104,19,82,-0.7157652
105,19,121,-0.51499885
106,19,122,-0.11331866
107,20,6,-0.106626675
108,20,24,1.0659198
109,20,44,-1.0208638
110,20,47,0.87348694
111,20,63,0.118894525
112,20,85,-0.19288242
113,20,86,-0.2808789
114,20,109,0.25696754
115,20,125,-1.3906558
116,21,6,-0.8581782
117,21,22,-1.2029457
118,21,47,1.1641868
119,21,102,0.38206473
120,22,28,1.241511
121,23,15,1.076272
122,23,72,-1.0678223
123,23,77,-0.38180286
124,23,88,0.39243078
125,23,110,-0.9578175
126,24,5,-1.0431759
127,24,22,-0.99455327
128,24,120,0.3354117
129,25,12,0.41946083
130,25,24,-0.3196055
131,25,28,-0.86793786
132,25,40,0.22659071
133,25,64,-1.0325178
134,25,69,0.6859791
135,25,96,-0.90374225
136,26,4,-0.4031878
137,26,42,-0.23511368
138,26,46,-0.72517294
139,26,80,-0.50511956
140,26,81,-0.6091539
141,26,89,-0.16649534
142,26,96,-0.23370318
143,26,111,-0.5861988
144,26,121,0.41879576
145,27,19,-0.31242138
146,27,50,-0.78003037
147,27,75,-0.1950799
148,27,84,-0.9085223
149,27,95,0.26890135
150,27,104,0.65526485
151,27,118,0.80967253
152,28,28,0.8377957
153,28,38,1.7646964
154,28,53,0.50294375
155,28,79,-0.75046194
156,29,9,0.8892841
157,29,10,-0.3231111
158,29,16,-1.0424666
159,29,36,-0.23481363
160,29,41,0.30963314
161,29,60,-0.5798827
162,29,64,-0.5903113
163,29,91,0.23811486
164,29,117,0.98422754
165,30,19,0.787414
166,30,26,0.24790967
167,30,100,0.3698233
168,30,121,0.796634
169,31,1,0.61128604
170,31,12,-0.16580689
171,31,19,0.8126976
172,31,27,0.45752597
173,31,30,0.7259875
174,31,48,0.371227
175,31,85,-0.65655977
176,31,100,-1.4061838
177,31,123,0.44127217
178,32,20,-0.6089376
179,32,31,-0.4539645
180,32,53,0.608839
181,32,66,0.5427678
182,32,68,1.1557846
183,32,98,-0.75380504
184,33,2,0.4521515
185,33,7,-1.2006712
186,33,44,0.55689013
187,33,70,-0.37392095
188,33,75,0.5499249
189,33,94,0.60985065
190,34,3,0.90747017
191,34,18,-0.37587574
192,34,61,0.3638963
193,34,77,-0.21976946
194,34,119,-0.1985524
195,35,7,-0.38809144
196,35,25,-0.6760074
197,35,35,0.6230393
198,35,36,0.17609787
199,35,45,-1.0287111
200,35,47,-0.57674944
201,35,82,-0.48884797
202,35,93,-0.29407597
203,35,108,-0.9101159
204,35,112,-0.22571406
205,36,31,-1.1122234
206,36,44,0.9138841
207,36,47,-0.88423234
208,37,3,0.24674359
209,37,7,1.097147
210,37,13,-0.33566266
211,37,31,-1.1519145
212,37,77,-0.17690915
213,37,98,-0.343085
214,37,106,0.218113
215,37,114,-0.34888694
