Id,Source,Target,Weight
0,0,8,-0.53479296
1,0,17,0.68550265
2,0,29,-0.3971792
3,0,38,-0.7768846
4,0,69,1.362925
5,0,76,0.22893985
6,0,77,-0.3287851
7,0,92,1.001193
8,0,113,-0.9511447
9,0,118,1.1131327
10,0,127,1.0243838
11,1,40,0.025278056
12,1,81,-1.9545721
13,2,7,-0.9406474
14,2,31,-0.37372687
15,2,51,0.4415022
16,2,90,0.3663553
17,2,123,0.26009116
18,3,2,0.2513889
19,3,16,-0.18482724
20,3,21,-0.3716635
21,3,29,0.97960144
22,3,53,-0.5309351
23,3,74,-0.28997055
24,3,108,-0.77294534
25,3,111,1.3415306
26,3,115,-0.88016564
27,3,119,1.1680636
28,4,24,0.41432315
29,4,29,0.44434923
30,4,57,-0.3905895
31,4,59,-0.39028165
32,4,75,0.17485085
33,4,102,0.29945162
34,4,111,0.8839713
35,4,119,-0.5834819
36,5,5,0.53216565
37,5,16,-0.7953105
38,5,31,-0.5778748
39,5,69,-0.5145002
40,5,72,-0.30865803
41,5,112,-0.55324024
42,5,124,-0.2377446
43,6,16,-0.47460893
44,6,81,0.034754634
45,6,101,0.32130298
46,6,111,0.6277855
47,7,31,-0.008154126
48,7,43,-0.4264357
49,7,66,-0.2540185
50,7,90,-0.66759676
51,7,118,-0.0019660704
52,8,7,1.7081356
53,8,17,-0.7342002
54,8,28,0.49908358
55,8,53,-0.6892676
56,8,62,0.024319598
57,8,72,-0.31239298
58,8,94,0.8955896
59,8,106,-0.49789223
60,8,122,0.1528909
61,9,81,-0.022958558
62,9,96,-1.1157566
63,9,107,0.75604063
64,9,125,0.85867363
65,10,4,0.42990834
66,10,35,0.33169234
67,11,4,-0.15803477
68,11,17,-0.014147794
69,11,20,-1.5388799
70,11,86,-0.5567288
71,12,5,1.2584577
72,12,42,0.120736994
73,12,106,-1.000296
74,13,13,1.7165527
75,13,15,-0.3431335
76,13,115,1.0351753
77,14,14,1.2828493
78,14,18,0.19464707
79,14,23,-0.5609532
80,14,40,0.60229486
81,14,47,-1.6635212
82,14,51,-0.87963784
83,14,63,-0.76009685
84,14,100,-0.7647115
85,15,7,0.3823089
86,15,13,-0.20632327
87,15,18,-0.36992058
88,15,33,-0.36468878
89,15,34,0.71226156
90,15,69,0.38852555
91,15,70,0.659639
92,15,92,0.6481926
93,16,14,0.4347951
94,16,30,-0.9787463
95,16,54,-0.7941009
96,16,100,1.0823314
97,17,25,0.24392627
98,17,95,0.86933875
99,17,116,0.13270186
100,18,31,-0.9493538
101,18,50,1.7502323
102,18,58,0.21366991
103,18,110,0.57233363
104,18,125,-1.2825577
105,19,6,0.34091493
106,19,43,0.60069746
107,19,62,-0.38620225
108,19,82,-0.9373139
109,19,121,-0.31189167
110,19,122,-0.38176304
111,20,6,-0.43377137
112,20,24,1.1113566
113,20,44,-1.1753652
114,20,47,1.1522951
115,20,86,-0.3926881
116,20,109,0.4595222
117,20,125,-1.6073102
118,21,5,-0.37015024
119,21,6,-1.1017272
120,21,22,-1.4040775
121,21,47,1.0449733
122,21,102,0.36203086
123,22,28,1.160648
124,22,54,0.032122865
125,23,15,1.1719655
126,23,72,-1.4082744
127,23,77,-0.26784042
128,23,88,0.58046573
129,23,110,-1.1851593
130,24,5,-1.2241013
131,24,8,-0.0037150192
132,24,22,-1.0489143
133,24,120,0.31753904
134,25,12,0.45598778
135,25,24,-0.35445943
136,25,28,-0.84884375
137,25,40,0.21534869
138,25,64,-1.2950283
139,25,69,0.8014209
140,25,96,-1.1707923
141,26,4,-0.4808648
142,26,42,-0.41306064
143,26,46,-0.8385677
144,26,80,-0.5251533
145,26,81,-0.77026945
146,26,89,-0.2845088
147,26,96,-0.600321
148,26,111,-0.3205256
149,26,121,0.32026875
150,27,50,-1.1358801
151,27,62,0.0147251515
152,27,84,-1.0363034
153,27,95,0.41020486
154,27,104,0.576193
155,27,118,0.7525164
156,28,14,0.023234196
157,28,28,0.79289347
158,28,38,1.9927492
159,28,53,0.60527563
160,28,79,-0.8611928
161,28,93,-0.0033755584
162,29,8,-0.00010349229
163,29,9,1.0916257
164,29,10,-0.36497378
165,29,16,-1.1653088
166,29,36,-0.17716159
167,29,41,0.3322751
168,29,42,-0.23641475
169,29,51,0.04122628
170,29,60,-0.6041462
171,29,64,-0.6749308
172,29,71,0.1223524
173,29,91,0.17673348
174,29,117,1.1678022
175,30,19,0.9696268
176,30,26,0.24676245
177,30,100,0.19851477
178,30,121,0.9784309
179,31,1,0.680936
180,31,12,-0.18673378
181,31,19,0.84408665
182,31,27,0.46440095
183,31,30,0.8331291
184,31,48,0.49058598
185,31,85,-0.6635269
186,31,100,-1.5685064
187,31,123,0.36623076
188,32,20,-0.5673593
189,32,31,-0.45138118
190,32,37,-0.061004575
191,32,52,0.266665
192,32,53,0.7757054
193,32,58,-0.017704833
194,32,66,0.46190044
195,32,68,1.2815839
196,32,71,0.3567647
197,32,98,-0.90422755
198,33,2,0.5245487
199,33,7,-1.1025239
200,33,44,0.64565736
201,33,70,-0.43527088
202,33,75,0.63425064
203,33,94,0.7302781
204,33,103,-0.0010447032
205,34,3,0.8495041
206,34,18,-0.2644635
207,34,47,0.006074716
208,34,61,0.59070104
209,34,74,-0.013630903
210,34,77,-0.22594713
211,34,119,-0.25908983
212,35,7,-0.57608503
213,35,8,-0.22081143
214,35,25,-0.89910126
215,35,35,0.80445254
216,35,36,0.3027806
217,35,45,-1.1633563
218,35,47,-0.816298
219,35,82,-0.67689043
220,35,93,-0.28179052
221,35,108,-1.0600735
222,35,112,-0.21580191
223,36,31,-1.3287641
224,36,44,1.0258552
225,36,47,-0.98361915
226,37,3,0.22226448
227,37,7,1.2795308
228,37,13,-0.43980566
229,37,31,-1.403476
230,37,77,-0.29117027
231,37,98,-0.47929174
232,37,106,0.22305776
233,37,114,-0.26777574
234,37,118,-0.24516818
235,38,18,0.8175937
236,38,28,1.2127105
237,38,45,-0.5548135
238,38,47,-0.6339664
239,38,99,-1.0718622
240,38,100,0.34744605
241,38,118,0.2921858
242,39,41,0.18913423
243,39,48,0.0024298844
244,39,49,-0.8229619
245,39,50,-0.27204955
246,39,65,0.49503714
247,39,84,0.19583575
248,39,100,-0.6133146
249,39,114,1.5167863
250,40,24,0.60858816
251,40,26,1.1680162
252,40,37,-0.4701271
253,40,43,0.3531947
254,40,61,0.91530544
255,40,62,1.0037609
256,40,71,0.33501813
257,40,80,0.33881333
258,40,105,0.65584826
259,40,107,-0.7013594
260,40,121,-0.33303514
261,41,100,-1.1767088
262,41,104,0.008773588
263,41,107,0.73108405
264,41,114,-1.1649771
265,42,42,1.4130793
266,42,58,0.7714657
267,42,93,0.009505091
268,42,94,0.7278528
269,42,119,-0.26864275
270,43,20,0.8300087
271,43,87,0.51770514
272,43,90,0.98200434
273,43,96,0.22795421
274,43,100,-0.7344482
275,43,115,-0.4898199
276,44,5,0.82646483
277,44,19,-1.2674196
278,44,46,0.023048734
279,44,50,0.73275685
280,44,53,-1.1798056
281,44,54,0.258324
282,44,74,-0.41680667
283,44,91,-0.4749209
284,45,9,0.00741913
285,45,63,0.45185977
286,45,106,0.52761567
287,45,110,1.8721614
288,46,9,-1.0064602
289,46,13,-0.9402994
290,46,69,-0.5186896
291,47,47,2.2130985
292,47,78,-0.7603323
293,48,2,-0.35305634
294,48,19,0.06114112
295,48,26,-0.96064276
296,48,28,0.34413218
297,48,45,0.39601764
298,48,53,-0.980281
299,48,64,0.057571694
300,48,75,0.26366207
301,48,77,-0.9316609
302,48,120,-0.28909972
303,49,16,-0.006697804
304,49,23,1.466479
305,49,52,0.4594498
306,50,7,-2.1506536
307,50,24,-0.92145413
308,50,33,0.058569863
309,50,69,0.02966077
310,50,81,-0.56737417
311,50,100,-0.046990126
312,50,107,-1.5066111
313,51,7,0.4308846
314,51,46,-0.0021913128
315,51,50,-1.4978236
316,51,51,2.5090842
317,51,56,0.6911281
318,52,10,0.2108961
319,52,55,0.26000834
320,52,98,-0.05056671
321,53,32,0.009307375
322,53,46,-0.020821892
323,53,101,-0.68829733
324,53,107,-1.0305047
325,53,125,-1.046867
326,54,17,-0.813919
327,54,25,-0.5640125
328,54,100,0.06323726
329,54,107,0.28948948
330,55,12,-1.4008323
331,55,14,-0.46558517
332,55,23,-0.714303
333,55,41,1.0093132
334,55,58,-0.84158844
335,55,59,-0.6464481
336,55,90,-0.7270931
337,56,13,0.48697966
338,56,17,-0.020019202
339,56,65,0.0022227024
340,56,94,1.4116479
341,56,99,0.45679894
342,56,107,0.3517002
343,56,123,-0.8078591
344,57,6,-0.22808374
345,57,29,-0.39446893
346,57,38,1.5095029
347,57,50,-1.8246647
348,57,98,0.36907506
349,57,99,0.22624952
350,57,110,0.09225624
351,57,117,-0.4447948
352,58,36,-0.026007418
353,58,42,1.3717369
354,58,45,0.85552835
355,58,56,0.9065255
356,58,75,0.4647284
357,58,106,0.57905406
358,58,109,-0.38021398
359,59,14,0.755539
360,59,24,1.5863476
361,59,35,0.6186277
362,59,41,-0.6871589
363,59,47,0.24971642
364,59,74,-0.29915324
365,59,98,0.466776
366,59,114,-0.88091725
367,60,28,0.6332344
368,60,50,-1.5284603
369,60,56,0.51811385
370,60,90,0.25453904
371,60,96,-0.55904627
372,60,101,-0.2093016
373,60,109,-0.73213816
374,61,1,-1.6082939
375,61,9,1.5134943
376,61,31,-0.5827911
377,61,45,-0.34343413
378,61,50,1.0765015
379,61,74,0.99765384
380,61,75,-0.7727552
381,61,98,-0.45085207
382,61,101,-0.73367006
383,61,115,0.9372236
384,62,14,0.19387883
385,62,21,-0.8550494
386,62,28,-0.41041356
387,62,34,-0.16939674
388,62,51,-1.020695
389,62,59,0.61355996
390,62,103,0.21237767
391,62,118,0.30830905
392,63,1,0.5877092
393,63,33,-0.387724
394,63,52,0.41570902
395,63,67,-0.2981579
396,63,95,0.005722124
397,63,103,-0.0012203389
398,64,14,-0.8591383
399,64,24,0.4133574
400,64,25,-0.31322303
401,64,108,0.13985491
402,64,115,0.023085685
403,64,116,-0.79244286
404,64,127,-0.42699367
405,65,3,-0.63595784
406,65,12,0.8984321
407,65,18,-0.0010657287
408,65,20,0.6323116
409,65,26,-0.17610428
410,65,37,0.95534956
411,65,56,0.7708394
412,65,76,0.61815405
413,65,79,-1.2952424
414,65,100,0.60314924
415,65,124,1.194987
416,65,125,-1.0207822
417,65,126,0.01638058
418,66,1,0.55033326
