Id,Source,Target,Weight
0,0,2,0.47275886
1,0,4,-0.21491408
2,0,7,-0.33168262
3,0,9,0.22978711
4,0,11,0.46829486
5,0,13,0.4638367
6,0,17,0.5316318
7,0,25,-0.39478886
8,0,43,-0.3651456
9,0,51,-0.23893866
10,0,52,0.3080079
11,0,53,0.25751033
12,0,57,0.49985522
13,0,62,0.21255134
14,0,64,-0.31205055
15,0,66,0.26156083
16,0,72,-0.23135611
17,0,73,0.30761644
18,0,78,0.23864082
19,0,81,0.32472715
20,0,83,0.22138755
21,0,87,0.34815857
22,0,90,0.39582837
23,0,98,0.21597312
24,0,99,-0.23483647
25,0,102,-0.37963817
26,0,104,0.26200557
27,0,108,-0.29832914
28,0,109,-0.38396397
29,0,118,0.31349587
30,0,125,0.3550383
31,1,3,0.2516724
32,1,4,-0.227164
33,1,6,0.3795761
34,1,11,-0.59714407
35,1,12,-0.2138456
36,1,28,-0.3300118
37,1,31,0.3606278
38,1,33,-0.287775
39,1,40,-0.29525283
40,1,43,0.24250853
41,1,44,0.33938727
42,1,51,-0.2456497
43,1,59,-0.3118413
44,1,72,-0.24761927
45,1,73,0.25814822
46,1,76,-0.23779005
47,1,77,-0.33645952
48,1,78,0.22385694
49,1,90,-0.32173046
50,1,91,0.23030306
51,1,92,-0.42360252
52,1,100,-0.37619218
53,1,109,-0.42515042
54,1,122,0.3580209
55,1,123,0.33262974
56,1,126,-0.46903875
57,2,5,-0.25778845
58,2,9,-0.42146417
59,2,10,0.2377433
60,2,11,-0.21451302
61,2,14,-0.27358115
62,2,24,-0.28781697
63,2,25,-0.33063346
64,2,31,-0.38308254
65,2,36,-0.25242302
66,2,37,0.2899704
67,2,40,0.29192924
68,2,49,-0.25869027
69,2,50,0.35274926
70,2,52,0.27636755
71,2,55,0.2828986
72,2,57,0.3561749
73,2,66,-0.2580516
74,2,71,0.2173347
75,2,92,0.23835906
76,2,94,-0.30749112
77,2,110,0.38533157
78,2,114,-0.5148481
79,2,115,0.21716738
80,2,116,0.21087532
81,2,119,0.22136143
82,2,127,0.6246598
83,3,15,0.36302122
84,3,22,0.34249255
85,3,29,-0.24756071
86,3,31,0.3301625
87,3,37,-0.5095231
88,3,38,0.29393178
89,3,39,0.38609388
90,3,43,0.36951
91,3,48,0.43076876
92,3,51,0.5222167
93,3,55,0.530048
94,3,57,-0.24675395
95,3,63,-0.32007658
96,3,66,0.2864524
97,3,70,-0.4766533
98,3,71,0.25413892
99,3,82,0.2590489
100,3,88,0.26501417
101,3,89,-0.3270316
102,3,90,-0.6049177
103,3,95,-0.21581449
104,3,97,0.21370552
105,3,99,0.38231063
106,3,111,0.3226151
107,3,114,0.3900359
108,3,116,0.31441933
109,3,119,0.39390558
110,3,121,-0.29164127
111,3,126,-0.38079742
112,3,127,0.30478835
113,4,9,-0.3589164
114,4,20,0.27295917
115,4,31,0.40298027
116,4,44,-0.27135614
117,4,45,-0.2595465
118,4,47,0.3706116
119,4,54,-0.23742352
120,4,63,-0.31215748
121,4,71,-0.26472807
122,4,72,-0.22467418
123,4,74,0.49539518
124,4,76,0.37333676
125,4,83,0.346283
126,4,84,0.308132
127,4,93,0.2706602
128,4,95,-0.40583798
129,4,113,0.38044223
130,4,114,-0.28720948
131,4,116,-0.22448929
132,4,127,0.32053778
133,5,6,0.33642218
134,5,7,0.22745629
135,5,13,0.26151028
136,5,15,-0.22346269
137,5,19,0.2386076
138,5,22,0.4454595
139,5,25,0.30258536
140,5,26,0.23994088
141,5,27,0.30054706
142,5,34,-0.2164271
143,5,39,-0.26179954
144,5,44,-0.2382959
145,5,49,0.32808304
146,5,50,-0.23572606
147,5,71,0.5471699
148,5,73,0.30921632
149,5,80,-0.26886648
150,5,81,0.29063922
151,5,93,-0.38511106
152,5,97,-0.43631887
153,5,100,0.3491565
154,5,103,-0.35245603
155,5,109,0.2969933
156,5,115,0.52749026
157,5,118,0.25237375
158,5,120,-0.23119693
159,5,127,0.39598483
160,6,6,0.7442698
161,6,10,0.3667958
162,6,21,0.34281516
163,6,25,0.4184044
164,6,37,0.2220497
165,6,38,-0.35756224
166,6,51,0.46293893
167,6,53,-0.23405306
168,6,54,0.40934354
169,6,55,0.25634834
170,6,60,-0.38427788
171,6,65,-0.22431085
172,6,76,-0.21754183
173,6,79,-0.24497354
174,6,88,0.23233128
175,6,91,0.2472224
