Id,Source,Target,Weight
0,0,91,-0.3151652
1,0,104,0.97154707
2,2,13,0.97398823
3,2,38,-1.1104099
4,2,40,0.82854503
5,2,73,0.8500479
6,2,81,1.2291765
7,2,116,0.9356529
8,3,5,-0.8773091
9,3,8,-1.1227704
10,3,36,1.0767109
11,3,37,1.106091
12,3,38,1.2206807
13,3,40,-0.99336946
14,3,58,0.7333175
15,3,74,0.8892864
16,3,79,0.9610141
17,3,85,0.98854
18,4,0,1.3635567
19,4,1,1.3886716
20,4,28,0.9473472
21,4,43,-1.1276543
22,4,54,-0.9327055
23,4,59,-1.3347721
24,4,73,-1.3185658
25,4,81,0.99143386
26,4,115,0.810218
27,4,124,-0.9848052
28,5,37,1.4825419
29,6,2,-0.86527234
30,6,6,2.7284868
31,6,36,1.621268
32,6,37,1.5127488
33,6,53,-1.0072782
34,6,77,0.84425366
35,6,99,0.73771524
36,6,112,-0.9676322
37,7,7,1.517377
38,7,37,0.7288899
39,7,38,-1.1437395
40,7,59,-1.0872928
41,7,96,-1.4071887
42,7,117,-0.8442929
43,7,119,-1.0683994
44,7,124,-0.81308466
45,7,125,-0.61668813
46,8,33,-1.2762717
47,8,36,-0.78365266
48,8,99,-1.0847087
49,9,9,0.9981233
50,9,14,-1.18131
51,9,47,-0.86157155
52,9,66,1.2268215
53,9,74,0.9214235
54,9,83,0.8485468
55,9,90,-1.150673
56,9,107,0.90609545
57,9,117,1.1902773
58,9,118,-0.8137275
59,9,125,-1.0603485
60,10,15,-1.1759838
61,10,28,-1.416052
62,10,32,0.8549344
63,10,84,-1.0843346
64,10,90,-1.6295669
65,10,111,1.2671729
66,11,7,0.8241208
67,11,49,-1.3152448
68,11,73,1.2457346
69,11,81,-1.5714386
70,11,84,-1.44088
71,11,91,0.8986377
72,11,104,-1.2746531
73,11,112,-0.82807493
74,12,8,1.0014157
75,12,22,1.2869505
76,12,37,1.5129377
77,12,74,-0.77028704
78,13,52,-0.6930865
79,13,112,0.91803217
80,13,126,-0.8222974
81,14,41,-1.268281
82,14,44,-1.0724534
83,14,74,-1.0802697
84,14,127,-1.133478
85,15,10,-0.98180026
86,15,13,-1.6923928
87,15,16,1.1525768
88,15,26,-1.1545227
89,15,69,1.132033
90,15,95,-0.82718736
91,15,116,-1.451935
92,16,28,-0.8893505
93,16,33,1.0933672
94,16,52,0.605086
95,16,74,0.88935435
96,17,9,1.0187701
97,17,13,-0.6937558
98,17,17,1.0417237
99,17,40,0.94213337
100,17,46,-1.1475272
101,17,57,0.76228875
102,17,61,-1.0197767
103,17,66,1.9008473
104,17,78,-1.3085009
105,17,86,-1.1859664
106,17,102,-1.0782617
107,17,105,-1.2372732
108,17,113,-1.1597236
109,17,114,0.9087214
110,18,8,-0.89614373
111,18,90,-1.1242573
112,19,52,1.2285333
113,19,60,-1.0493418
114,19,62,0.9389027
115,19,63,-1.503929
116,19,68,0.8434568
117,19,69,-0.9618268
118,19,95,0.94309926
119,19,97,-0.8320166
120,19,124,1.0355953
121,20,18,-1.1304919
122,20,20,1.2914656
123,20,29,-1.0153204
124,20,37,0.96817577
125,20,52,1.0616596
126,20,114,0.8246669
127,21,26,1.6676669
128,21,32,1.2769822
129,21,34,1.147787
130,21,74,1.0477372
131,21,76,-1.7296256
132,21,78,0.43845662
133,21,100,-0.8587147
134,21,106,1.1736571
135,21,109,1.1826379
136,21,124,1.2696186
137,21,125,1.1324368
138,22,12,1.0842432
139,22,16,-1.9414942
140,22,22,1.850677
141,22,33,-1.2699059
142,22,40,-1.2208637
143,22,52,-0.76948255
144,22,59,-1.1573834
145,22,60,-1.0959598
146,22,115,-0.9790852
147,23,23,3.3640428
148,23,26,1.1177095
149,23,76,-1.3196776
150,23,79,-0.94139755
151,23,91,-0.85304624
152,23,94,-0.8260903
153,24,0,1.0640078
154,24,1,1.3561324
155,24,10,-0.99848586
156,24,16,-1.0522693
157,24,88,0.948586
158,24,124,-0.97837734
159,25,36,-1.2045984
160,25,53,-0.80466676
161,25,55,-0.7033438
162,25,63,0.88966995
163,25,95,-0.7388122
164,25,111,1.0458003
165,25,125,-1.0376694
166,26,38,-1.4530258
167,26,48,-1.0493087
168,27,0,-1.4996213
169,27,15,-1.2546874
170,27,18,1.224435
171,27,30,-1.0542002
172,27,33,-1.5127401
173,27,36,0.95483357
174,27,37,-1.0968673
175,27,49,0.8455165
176,27,61,0.56639934
177,27,64,-1.0339286
178,27,74,-0.9909505
179,27,75,0.7862104
180,27,94,0.9175829
181,27,111,-0.80837107
182,28,26,-1.166138
183,28,38,1.3996732
184,28,43,-1.016243
185,28,69,0.9090952
186,28,76,1.4800905
187,28,111,-1.15757
188,29,36,0.90803224
189,29,41,-0.9846189
190,29,44,0.6770266
191,29,52,-1.2260294
192,29,79,-1.3083215
193,29,94,-0.80767167
194,29,99,0.92673844
195,29,115,0.7860802
196,30,0,-0.9534498
197,30,27,-0.6811647
198,30,42,0.7562837
199,30,56,0.792233
200,30,71,-0.94988626
201,30,87,0.84045494
202,30,95,0.531053
203,30,97,-0.97674966
204,30,99,0.77980006
205,31,26,0.82908934
206,31,31,1.0959623
207,31,58,1.0399823
208,31,95,0.8998317
209,32,45,-0.87851065
210,32,73,1.3418405
211,32,102,-1.5040185
212,32,106,0.8279765
213,32,111,0.9077713
214,32,123,-1.2220262
215,33,104,-1.53986
216,34,20,-0.87228
217,34,33,-0.5960237
218,34,68,-1.0464599
219,35,0,1.010457
220,35,20,-1.3859718
221,35,36,0.81565124
222,35,81,-1.110412
223,35,92,-0.98999405
224,35,95,1.3616432
225,37,23,1.2553291
226,37,66,0.9655857
227,37,91,-1.3453869
228,37,104,1.2081205
229,38,8,-1.2469878
230,38,23,-1.5556428
231,38,31,-0.9564133
232,38,37,-1.262655
233,39,39,1.8741089
234,39,77,1.3361297
235,39,106,-0.7950555
236,40,36,0.9149717
237,40,40,3.1338959
238,40,58,1.0004642
239,40,59,-0.79571795
240,40,95,1.1214788
241,40,118,-0.7576867
242,41,9,0.82080966
243,41,29,-1.1926969
244,41,41,1.3455222
245,41,49,1.0250266
246,41,70,-1.0685333
247,41,74,1.2862431
248,41,76,-0.47200552
249,41,78,0.7146761
250,41,108,0.9845867
251,41,113,0.6477036
252,41,123,1.3850996
253,42,3,1.0616598
254,42,14,1.5663832
255,42,44,-1.0383906
256,42,63,-0.9372595
257,42,66,-0.68969816
258,42,70,-0.9662787
259,42,78,0.90799016
260,42,109,-1.3916328
261,42,113,0.92039967
262,43,10,1.050526
263,43,18,0.84777975
264,43,26,0.7596634
265,43,39,-0.7103601
266,43,43,2.356665
267,43,73,1.0689154
268,43,111,1.0425653
269,43,116,1.2076607
270,44,8,-0.9388157
271,44,28,-1.1406285
272,44,33,0.9192519
273,44,36,1.4342147
274,44,44,2.0986507
275,44,76,-0.85719174
276,44,77,-1.2338194
277,44,91,-1.4424665
278,44,92,-0.8462504
279,44,95,1.3153411
280,44,99,0.74446285
281,44,102,-0.67211455
282,45,5,0.8896001
283,45,45,1.5111971
284,45,59,-1.2099683
285,45,60,1.476394
286,45,70,1.5282941
287,45,74,-1.2732496
288,45,97,0.97456944
289,45,124,-1.2765597
290,46,3,-0.93480784
291,46,48,0.9130011
