Id,Source,Target,Weight
0,0,4,-0.21883246
1,0,43,0.1830648
2,1,15,0.18585601
3,1,58,0.424597
4,1,73,0.053159066
5,1,77,-0.10518828
6,1,94,0.18640754
7,1,119,0.1585361
8,2,27,0.036282837
9,2,30,-0.1254948
10,2,80,-0.13153884
11,2,89,0.19761562
12,3,43,0.02490978
13,3,77,-0.40957588
14,3,88,-0.12145893
15,3,112,0.0999401
16,4,45,-0.12031541
17,4,55,-0.035883952
18,5,14,-0.053927638
19,5,24,-0.07012245
20,5,38,-0.09536589
21,5,69,0.049082454
22,5,117,-0.17618127
23,5,121,-0.15685219
24,6,12,0.1366738
25,6,20,-0.084835745
26,6,24,0.2795558
27,6,62,0.09136343
28,6,103,-0.079731025
29,7,0,0.09196202
30,7,41,0.26160055
31,7,56,0.15801899
32,7,66,0.104641505
33,7,97,0.15663868
34,7,108,0.32748735
35,8,29,0.12645425
36,8,77,0.45192504
37,8,92,0.24341872
38,8,101,-0.27651268
39,8,107,-0.037071582
40,9,27,0.1483378
41,9,115,-0.08939894
42,10,38,0.087343216
43,10,47,0.303271
44,10,68,0.042995248
45,10,83,0.19889721
46,10,86,0.11570737
47,10,99,-0.100918025
48,11,25,0.189933
49,11,32,-0.055808757
50,11,41,-0.08686141
51,11,55,0.111040644
52,11,58,-0.09917969
53,11,60,-0.13741358
54,11,63,-0.06733336
55,11,77,-0.21042804
56,11,97,0.28199586
57,11,113,0.11989055
58,11,116,-0.10861832
59,12,14,-0.14544815
60,12,17,-0.03490676
61,12,23,0.3064885
62,12,45,0.054782666
63,12,66,0.2849415
64,12,96,0.086745545
65,12,112,0.06322477
66,12,116,0.103173144
67,13,15,0.110461436
68,13,76,-0.08464121
69,13,99,-0.17911232
70,13,100,-0.24700272
71,14,6,0.2571584
72,14,17,-0.22430293
73,14,18,-0.11014518
74,14,56,-0.056345597
75,14,63,0.23377301
76,14,87,-0.04194861
77,14,104,-0.21012676
78,14,107,-0.02887891
79,14,126,-0.1348986
80,15,7,-0.15482995
81,15,90,0.059797954
82,15,94,0.117045686
83,15,95,0.116080195
84,15,97,-0.12070147
85,16,20,-0.37360573
86,16,33,-0.25807482
87,16,47,0.15268566
88,16,78,-0.27251428
89,16,79,0.1569912
90,16,96,-0.24926573
91,16,114,0.14490438
92,17,12,0.12239011
93,17,23,0.10783761
94,17,74,0.13501988
95,17,98,0.17429991
96,17,123,-0.29384774
97,18,10,0.06990696
98,18,43,0.14684668
99,18,47,-0.10970072
100,19,43,0.16216043
101,19,110,0.15156268
102,19,123,-0.0667549
103,19,125,-0.2489919
104,20,38,-0.058136538
105,20,45,-0.09768685
106,20,82,0.093773596
107,20,86,-0.13664526
108,20,89,-0.15631536
109,21,7,0.5360134
110,21,21,0.33206138
111,21,58,0.17298758
112,21,68,0.107549205
113,21,76,0.5585011
114,21,101,0.08645105
115,22,47,0.42066425
116,22,82,0.090858534
117,22,118,-0.090701535
118,23,2,0.22431329
119,23,12,-0.19041367
120,23,92,0.10782118
121,23,93,-0.052161224
122,23,96,0.08843768
123,23,115,0.17461485
124,24,21,-0.319284
125,24,24,0.39320984
126,24,34,0.25724795
127,24,42,-0.1849554
128,24,59,0.1746996
129,24,66,0.1277483
130,24,73,-0.25242352
