Id,Source,Target,Weight
0,0,4,-0.47380817
1,0,43,0.20247515
2,0,119,-0.0025908377
3,1,15,0.43261108
4,1,17,-0.0059209093
5,1,58,0.49633235
6,1,77,-0.14783232
7,1,94,0.2649401
8,1,119,0.16350329
9,2,21,0.2130122
10,2,30,-0.2918284
11,2,45,-0.29047063
12,2,80,-0.38898385
13,2,85,0.13946675
14,2,89,0.41514745
15,3,77,-0.33233333
16,3,112,0.3720582
17,4,55,-0.1490945
18,4,85,-0.10828319
19,4,108,0.035473835
20,5,24,-0.19552094
21,5,38,-0.15199143
22,5,117,-0.28715298
23,5,121,-0.16894944
24,6,12,0.19826314
25,6,24,0.37227052
26,6,62,0.11095286
27,6,82,0.0021759644
28,6,95,0.0005724021
29,6,103,-0.17342657
30,7,6,-0.0005196661
31,7,16,0.22288258
32,7,35,-0.2707307
33,7,41,0.3882725
34,7,56,0.48203415
35,7,72,0.27058938
36,7,78,-0.18536012
37,7,95,-0.19415323
38,7,101,0.13806738
39,7,104,-0.0009308128
40,7,108,0.39638266
41,7,114,0.13911553
42,7,123,0.1398277
43,8,29,0.19903876
44,8,75,0.5482908
45,8,76,-8.6351065e-06
46,8,77,0.48843965
47,8,92,0.26605558
48,8,101,-0.5192659
49,8,111,-0.0002478296
50,9,7,-0.30975154
51,9,24,0.00010285397
52,9,27,0.24198397
53,10,4,-0.004718042
54,10,5,-0.0005155564
55,10,30,0.0019101681
56,10,38,0.2468169
57,10,47,0.33422455
58,10,68,0.14716293
59,10,83,0.055235617
60,10,93,0.00057762465
61,10,99,-0.063245535
62,10,100,0.0003729557
63,11,25,0.19236535
64,11,32,-0.16832994
65,11,33,0.0016539575
66,11,41,-0.16520432
67,11,49,0.0032770508
68,11,55,0.094178244
69,11,58,-0.13948476
70,11,60,-0.30106643
71,11,77,-0.09090548
72,11,97,0.2966459
73,11,113,0.22569822
74,11,116,-0.09725934
75,11,123,-0.0021746377
76,12,4,0.09131549
77,12,14,-0.13388297
78,12,17,0.14535919
79,12,23,0.6199003
80,12,66,0.5106965
81,12,112,0.27265847
82,13,10,0.3410402
83,13,15,0.30424643
84,13,76,-0.2230713
85,13,99,-0.17697383
86,13,100,-0.27734372
87,13,107,-0.048217252
88,13,127,0.24883528
89,14,6,0.112173766
90,14,17,-0.2667524
91,14,18,-0.09730389
92,14,63,0.30356768
93,14,87,-0.19491974
94,14,104,-0.15511873
95,14,126,-0.28579253
96,15,7,-0.33350855
97,15,94,0.23738958
98,15,95,0.15787792
99,15,97,-0.11351866
100,16,8,-0.038340244
101,16,19,0.002083614
102,16,20,-0.5724024
103,16,33,-0.41256237
104,16,47,0.3171822
105,16,51,0.00022986795
106,16,56,-0.18632825
107,16,78,-0.7597745
108,16,79,0.08049519
109,16,96,-0.38702685
110,16,114,0.28631228
111,17,12,0.111904964
112,17,23,0.17278484
113,17,74,0.12490156
114,17,123,-0.48788437
115,18,10,0.4517014
116,18,17,0.10813171
117,18,43,0.17070392
118,18,119,-0.007041587
119,19,27,0.12259597
120,19,40,-0.022123385
121,19,43,0.10772063
122,19,59,-0.35708317
123,19,87,-0.14164822
124,19,110,0.13597631
125,19,123,-0.31604457
126,19,125,-0.36596286
127,19,127,0.00058178965
128,20,38,-0.112648554
129,20,45,-0.16111816
130,20,82,0.18328649
131,20,86,-0.14601402
132,20,89,-0.035920452
133,21,7,0.62357366
134,21,16,0.0024717404
135,21,21,0.54351306
136,21,58,0.14293705
137,21,68,0.09634107
138,21,76,0.63929576
139,21,101,0.25543767
140,21,104,-0.0030153254
141,21,116,-0.00015899057
142,22,47,0.59625113
143,22,82,0.20519994
144,22,118,-0.056773596
145,22,121,0.000945414
146,23,2,0.61165327
147,23,22,0.3523745
148,23,38,0.101538174
149,23,40,-0.19989878
150,23,72,-0.20106883
151,23,92,0.24872889
152,23,96,0.77474684
153,23,110,0.00034544527
154,23,115,0.15625009
155,24,21,-0.3512208
156,24,24,0.40119582
157,24,34,0.33472443
158,24,73,-0.31259027
159,24,77,-0.001289996
160,24,90,-0.36655155
161,24,111,-0.13577558
162,24,125,-0.17895183
163,25,13,-0.15314776
164,25,16,-0.2921059
165,25,23,0.19658041
166,25,26,-0.0009430229
167,25,76,-0.0036105935
168,25,77,-0.2739131
169,25,100,-0.24285498
170,25,106,0.14728668
171,25,122,0.2871794
172,25,125,0.2676882
173,26,9,0.0033673057
174,26,11,-0.0013605944
175,26,50,-0.27540618
176,26,63,-0.27351978
177,26,100,0.1200914
178,26,114,-0.3979946
179,27,46,-0.19965959
180,27,49,0.37239426
181,27,122,-0.1578009
182,28,25,-0.46413735
183,28,41,-0.23357007
184,28,42,-0.092387564
185,28,76,-0.29479098
186,28,92,0.3154109
187,28,100,-0.4050865
188,28,104,-0.5348448
189,28,112,0.55936176
190,28,127,-0.0012051443
191,29,27,-0.12965745
192,29,70,0.31629685
193,29,72,0.00218235
194,29,74,-0.25160083
195,29,82,-0.06323194
196,29,114,0.17827633
197,29,120,0.0012960718
198,29,127,-0.004370589
199,30,37,0.3290918
200,31,17,0.5178744
201,31,20,-0.0020519283
202,31,28,-2.9467745e-05
203,31,115,-0.14648044
204,32,52,-0.24961318
205,32,58,0.29832152
206,32,66,0.0014923135
207,32,69,-0.0011623211
208,32,101,0.30300102
209,32,117,0.0024761572
210,32,122,0.73566324
211,33,11,0.25602853
212,33,16,-0.40401295
213,33,26,-0.00011629243
214,33,27,-0.08165261
215,33,39,0.0011259363
216,33,49,0.20916435
217,33,114,-0.4016773
218,34,14,0.00078538497
219,34,16,0.34833437
220,34,41,-0.19030021
221,34,49,0.30710068
222,34,62,0.12708451
223,34,73,-0.21060993
224,34,80,-0.23597297
225,34,98,0.02675881
226,34,107,-0.45534223
227,34,123,0.5284481
228,35,20,0.1731625
229,35,67,-0.09730942
230,35,91,0.35918182
231,35,92,0.1372092
232,35,96,0.35606864
233,35,117,-0.05145829
234,36,56,-0.3820793
235,36,74,0.37342918
236,36,90,-0.4077326
237,36,99,-0.18554722
238,36,107,-0.34722662
239,36,123,-0.056527726
240,37,16,0.007995311
241,37,43,0.04429506
242,37,68,-0.39742985
243,37,91,0.29631463
244,37,95,0.09410429
245,38,5,-0.24827099
246,38,9,0.21260753
247,38,34,0.1296445
248,38,47,0.3638495
249,38,58,-0.077586964
250,38,61,-0.32986942
251,38,62,-0.0005771049
252,38,91,-0.041720573
253,38,117,0.22535354
254,39,48,0.00087541516
255,39,64,-0.014683306
256,39,71,0.0013197784
257,39,77,0.057947706
258,39,111,0.15852371
259,39,122,-0.003969033
260,40,24,0.33645535
261,40,33,-0.13973065
262,40,38,-0.17625406
263,40,76,0.23246613
264,40,84,-0.11475384
265,40,103,-0.001153945
266,41,42,-0.00212393
267,41,77,-0.12968676
268,41,109,0.24966244
269,41,125,0.1675549
270,42,0,0.33908322
271,42,89,-0.14806698
272,42,124,0.04969502
273,43,0,-0.24324764
274,43,10,0.00031823775
275,43,22,-0.22395988
276,43,37,-0.16107056
277,43,45,0.15346137
278,43,68,0.099591196
279,43,123,0.12560351
280,43,124,-0.13854374
281,44,40,-0.18853351
282,44,54,-0.4370142
283,44,58,0.16090326
284,44,88,-0.0026443892
285,44,95,0.12327966
286,45,8,-0.25365713
287,45,21,-0.18049587
288,45,54,-0.14497651
289,45,58,0.0026618966
290,45,87,0.19466922
291,45,123,-0.11366996
292,46,1,0.60322505
293,46,19,-0.0010426579
294,46,30,0.391888
295,46,45,-0.13857871
296,46,49,-0.16672131
297,46,102,-0.59828085
298,46,103,0.00015235927
299,47,0,-0.136612
300,47,6,0.25116855
301,47,18,0.14297563
302,47,69,-0.2849493
303,47,99,-0.22592643
304,48,44,0.33112657
305,48,77,-0.47239965
306,48,83,-0.3415726
307,48,85,-0.0844788
308,48,91,0.24461906
309,48,100,-0.19614811
310,49,21,-0.15092234
311,49,48,0.23404883
312,49,88,-0.14876737
313,49,110,-0.4267174
314,49,111,-0.5951766
315,49,116,0.3040983
316,50,75,0.24808282
317,50,95,0.0040830453
318,50,96,-0.047322165
319,50,97,0.19278489
320,50,102,-0.00035258583
321,51,7,-0.1758994
322,51,41,-0.14648135
323,51,68,0.1856003
324,51,91,-0.27552432
325,52,18,0.23792636
326,52,35,-0.00021148608
327,52,36,-0.37725663
328,52,110,0.079120316
329,53,4,0.037437204
330,53,6,0.0012926802
331,53,32,0.0045021
332,53,40,-0.116743796
333,53,66,0.0011763601
334,53,78,-0.0020218675
335,53,106,0.1642591
336,53,117,-0.28150785
337,54,5,0.0010849275
338,54,33,-0.00223531
339,54,57,0.14506808
340,54,63,0.09377657
341,54,69,0.33853817
342,54,74,-0.10357147
343,54,78,-0.3390746
344,54,95,-0.39135456
345,55,19,-0.3241728
346,55,30,-0.00024327182
347,55,61,-0.0019959656
348,55,62,-0.20041041
349,55,75,-0.23629425
350,55,99,0.36688647
351,55,104,0.6705372
352,55,119,0.12841271
353,56,10,-0.38415623
354,56,11,0.0047416673
355,56,23,-0.29449058
356,56,30,0.0013370672
357,56,49,-0.2559114
358,56,75,0.20494246
359,56,82,0.38488436
360,56,87,0.03423604
361,57,24,0.28517187
362,57,33,0.00071958825
363,57,74,-0.15537705
364,58,5,-0.111447625
365,58,15,-0.002828313
366,58,22,0.6450529
367,58,26,0.37372288
368,58,30,-0.24820419
369,58,47,0.20910522
370,58,51,-0.14693351
371,58,66,-0.071451694
372,58,75,-0.4198426
373,58,91,0.22797827
374,58,107,-0.26322964
375,58,116,-0.0007946785
376,58,121,0.132464
377,58,125,0.48868036
378,59,14,0.14667733
379,59,15,0.1323346
380,59,31,-0.073001124
381,59,40,0.22826849
382,59,53,-0.031088991
383,59,59,0.098917425
384,59,68,0.0619006
385,59,77,0.0075727366
386,59,94,0.0037780518
387,59,103,-0.20610183
388,59,115,-0.24140812
389,59,122,0.1407633
390,59,125,-0.011683461
391,60,22,0.36956012
392,60,28,0.107226916
393,60,31,-0.20969586
394,60,47,0.0045553655
395,60,56,-0.0007315645
396,60,81,-0.19445753
397,60,96,-0.0008347551
398,61,53,0.23149969
399,62,36,0.19089112
400,62,77,0.11337157
401,62,104,0.3561245
402,62,123,0.29916525
403,63,1,-0.24411273
404,63,24,0.46547005
405,63,69,0.5736279
406,63,108,-0.5106443
407,63,111,-0.0002259363
408,64,9,0.009492562
409,64,53,-0.055243105
410,64,71,0.18133919
411,64,88,-0.037571065
412,64,106,-0.01437935
413,64,125,-0.031201025
414,65,11,-0.1505993
415,65,100,0.15253153
416,65,120,0.27094358
417,66,48,-0.1167017
418,66,79,-0.005907998
419,66,89,-0.00024126565
420,66,95,0.0007996027
421,67,53,-0.039987348
422,67,64,-0.2342284
423,67,89,-0.0008528214
424,67,118,-0.13214786
425,68,27,0.29542613
426,68,46,-0.05423997
427,68,60,0.0017591472
428,68,75,-0.0005948616
429,68,83,-0.0041178134
430,68,92,0.27743182
431,69,45,-0.00063790346
432,69,66,0.06452732
433,69,81,-0.31241956
434,69,120,-0.11539465
435,70,1,-0.00017133454
436,70,10,9.35249e-05
437,70,21,0.10100225
438,70,40,-0.1372326
439,70,54,-0.16139123
440,70,86,0.11681655
441,70,103,0.09147975
442,70,109,-0.07980268
443,71,28,-0.10346013
444,71,52,-0.19266567
445,71,65,-0.12187892
446,72,27,0.005380574
447,72,30,0.494509
448,72,33,0.001547972
449,72,120,0.34751865
450,73,3,0.395082
451,73,38,-0.5595836
452,73,68,-0.2588153
453,73,69,-0.053228218
454,73,84,-0.3465707
455,73,118,-0.23572508
456,73,120,0.50703394
457,74,10,0.3604593
458,74,13,0.2109452
459,74,15,0.12823215
460,74,26,0.1497832
461,74,50,-0.06660805
462,74,69,-0.108632565
463,74,120,-0.23375118
464,75,2,0.00091782765
465,75,31,-0.20996347
466,75,35,0.0852352
467,75,36,-0.23409417
468,75,41,-0.15835351
469,75,59,0.21215348
470,75,72,-0.00089527597
471,75,75,0.14053018
472,75,115,-0.41532233
473,76,14,0.00079842046
474,76,39,0.21389343
475,76,49,-0.38579085
476,76,84,-0.59191304
477,76,92,-0.16722421
478,76,111,0.5335433
479,77,8,0.1489002
480,77,26,-0.11447524
481,77,31,-0.07845967
482,77,41,-0.27047378
483,77,53,-0.026846802
484,78,10,0.002317022
485,78,12,0.3915554
486,78,15,0.40201563
487,78,20,-0.002441309
488,78,33,0.44843352
489,78,97,0.37720615
490,78,124,-0.001018569
491,79,111,-0.055638183
492,79,123,0.0005939667
493,80,0,-0.65470445
494,80,11,0.39718148
495,80,84,-0.13673465
496,80,85,0.12654558
497,80,88,-0.032899164
498,80,100,-0.008718499
499,80,119,0.37633368
500,80,120,0.42243844
501,80,122,-0.3164639
502,80,127,-0.6705951
503,81,15,-0.19861533
504,81,45,0.66444546
505,81,54,-0.25643805
506,82,8,-0.044752136
507,82,25,0.10572956
508,82,26,0.23982635
509,82,46,-0.004009707
510,82,72,-0.13469006
511,82,85,0.27990144
512,82,87,0.10883923
513,82,91,-0.42828256
514,82,94,-0.3785412
515,82,112,0.22107592
516,82,120,-0.0054225265
517,83,0,-0.2739206
518,83,76,0.1883678
519,83,84,-0.12641792
520,83,88,0.096855
521,83,116,-0.10429178
522,84,9,0.28718844
523,84,52,0.31447282
524,84,64,-0.00095911155
525,84,113,0.00037773832
526,84,114,-0.0020564354
527,84,119,-0.38243654
528,85,6,0.3443454
529,85,37,-0.12591167
530,85,69,0.2605409
531,85,82,0.14821379
532,85,123,0.30486327
533,86,5,0.52521634
534,86,25,-0.6450776
535,86,28,0.43230176
536,86,43,-0.32522538
537,86,51,0.00096576905
538,86,75,0.43788737
539,86,92,0.132761
540,86,97,-0.44226444
541,86,100,0.10170265
542,87,15,0.33037084
543,87,70,-0.0005216992
544,87,75,-0.3915423
545,87,95,-0.0035318665
546,87,114,-0.0027081205
547,88,67,0.16502191
548,88,92,-0.09191923
549,89,2,0.17704429
550,89,48,0.04651836
551,89,51,0.31578127
552,89,63,0.24649976
553,89,84,0.112941034
554,90,13,-0.5191667
555,90,28,-0.19873543
556,90,29,0.15523383
557,90,37,0.064403825
558,90,42,0.0012989184
559,90,49,-0.113790005
560,90,75,0.032562405
561,90,80,0.23586477
562,90,103,0.14693116
563,90,122,-0.84395504
564,91,27,0.41978958
565,91,36,-0.11675699
566,91,50,-0.094418615
567,91,81,-0.04210064
568,91,94,-0.005556049
569,91,97,-0.0058154888
570,91,104,-0.060875654
571,91,106,-0.10881937
572,91,118,-0.1931365
573,91,120,0.0007538679
574,91,122,0.008410927
575,92,1,-0.07645807
576,92,46,-0.33744827
577,92,55,-0.297139
578,92,57,0.30138147
579,92,77,0.20880923
580,92,107,-0.26141614
581,92,109,-0.11878601
582,93,18,0.14969625
583,93,61,0.28681517
584,93,118,0.2611009
585,93,119,0.0004866955
586,94,96,0.18972318
587,94,102,-0.002660994
588,94,106,-0.12770216
589,94,109,0.26711494
590,94,123,-0.15441908
591,95,0,0.0033663954
592,95,2,-0.090879746
593,95,65,-0.2163109
594,95,86,-0.21077867
595,95,118,0.13341121
596,96,3,-0.2975264
597,96,10,0.20946503
598,96,17,0.064110905
599,96,41,-0.38335022
600,96,44,0.0014875665
601,96,57,-0.053564973
602,96,61,-0.001904886
603,96,64,-0.033118017
604,96,73,-0.39562675
605,96,100,0.034385838
606,96,104,0.0038965952
607,96,113,0.17865819
608,97,16,-0.64617664
609,97,42,0.13306753
610,97,47,-0.19635858
611,97,54,-0.26630294
612,97,55,0.70847416
613,97,56,0.19956766
614,97,57,-0.18845241
615,97,90,0.28634754
616,97,91,-0.28140965
617,98,14,0.004346211
618,98,67,-0.17507192
619,98,103,-0.00036177895
620,99,4,-0.50233465
621,99,11,0.12262019
622,99,20,0.27345625
623,99,31,-0.23628466
624,99,34,-0.10334543
625,99,68,-0.49338472
626,99,76,0.40234342
627,99,87,-0.26745442
628,99,90,0.5211687
629,99,97,0.3507025
630,99,107,0.33705854
631,99,108,-0.22152051
632,99,114,0.31217676
633,99,117,0.00047534058
634,99,121,-0.16547818
635,100,4,0.15692061
636,100,7,-0.13627355
637,100,17,-0.1693977
638,100,48,-0.097879544
639,100,106,0.15760364
640,100,111,0.324371
641,100,118,-0.0023695119
642,101,11,-0.4027638
643,101,46,0.3342528
644,101,107,0.10724529
645,102,0,-0.002543943
646,102,34,0.07408004
647,102,48,-0.1698317
648,102,59,-0.4754239
649,102,87,-0.081794836
650,102,94,0.0044085076
651,102,107,-0.21628737
652,102,115,0.10231279
653,103,6,0.14247043
654,103,7,0.22899438
655,103,13,-0.14389542
656,103,22,-0.007823205
657,103,97,0.20632535
658,103,98,0.11509511
659,103,107,0.001667546
660,104,25,0.23608139
661,104,80,-0.3757328
662,104,119,0.18783376
663,105,24,0.19722986
664,105,31,0.0005916284
665,105,61,-0.0016984829
666,105,63,-0.00022686864
667,105,69,0.041489642
668,105,111,0.1160135
669,105,122,-0.3556761
670,106,19,0.00093689276
671,107,23,0.0006280394
672,107,68,-0.3886283
673,107,85,0.10669366
674,107,103,0.13731323
675,107,109,-0.08645082
676,108,13,0.33349243
677,108,42,-0.16563116
678,108,57,-0.055101573
679,108,99,-0.24831147
680,108,125,0.44119033
681,109,1,0.191205
682,109,32,0.27389735
683,109,39,0.19906466
684,109,43,0.1670933
685,109,53,-0.0042885467
686,109,101,0.061725207
687,109,121,0.09321653
688,110,50,0.0026168053
689,110,56,0.1250258
690,110,81,0.0010653367
691,110,109,0.093258746
692,110,113,0.0015505335
693,111,0,-0.17335802
694,111,3,0.03978548
695,111,14,-0.13970917
696,111,17,0.09031603
697,111,21,0.5306722
698,111,41,0.29970607
699,111,50,-0.22919787
700,111,58,0.4665689
701,111,69,-0.3623467
702,111,92,-0.00024651724
703,111,93,-0.00026985497
704,111,101,0.21105911
705,111,105,-0.0006934014
706,112,0,-0.039456826
707,112,11,-1.4835583e-05
708,112,20,-0.15304601
709,112,64,-0.042464815
710,112,87,0.2648247
711,112,120,0.12850027
712,113,8,0.0010428607
713,113,24,-0.3555761
714,113,38,-0.001966045
715,113,40,-0.25830355
716,113,116,0.1407469
717,114,7,0.35662717
718,114,14,0.22485733
719,114,22,-0.5362577
720,114,24,0.10573696
721,114,32,-0.24010861
722,114,41,-0.068824545
723,114,56,0.31311184
724,114,123,0.39529294
725,115,42,0.041593056
726,115,44,-0.0048392517
727,115,64,-0.006327186
728,115,78,0.10555327
729,115,79,-0.20270193
730,116,90,-0.1416113
731,116,100,-0.051501874
732,117,6,-0.000120347984
733,117,21,0.0027748728
734,117,68,-0.07744412
735,118,10,-0.20321079
736,118,24,0.11966277
737,118,122,-0.25373694
738,119,4,-0.1198898
739,119,6,0.00095114997
740,119,9,-0.12927566
741,119,15,0.1426701
742,119,19,-0.46127632
743,119,23,-0.12569518
744,119,28,-0.20466138
745,119,32,0.3313629
746,119,39,0.09805396
747,119,90,0.00091339
748,119,98,0.41187546
749,120,3,0.19184957
750,120,23,-0.39483827
751,120,76,0.4236889
752,120,80,0.48332968
753,120,96,-0.3849248
754,120,105,0.18378958
755,120,124,-0.31335816
756,120,127,-0.0034929183
757,121,18,0.22502889
758,121,31,-0.00076189265
759,121,52,-0.5928262
760,121,61,0.0007795815
761,121,114,-0.16463423
762,122,5,-0.0751369
763,122,7,0.001978814
764,122,12,0.00020697417
765,122,20,-0.0070297136
766,122,27,-0.003261297
767,122,75,-0.49441963
768,122,82,-0.28908643
769,122,90,-0.121477254
770,123,23,0.23435974
771,123,41,-0.16058405
772,123,44,-0.13493201
773,123,57,-0.0006308975
774,123,58,-0.27058724
775,123,72,0.0003637641
776,123,78,-0.13839513
777,123,81,-0.27580172
778,123,86,0.39920226
779,124,15,-0.0012798797
780,124,24,-0.36656126
781,124,48,0.1705372
782,124,108,-0.00050926174
783,125,8,-0.5673143
784,125,36,0.16201101
785,125,41,0.23305103
786,125,44,0.31288496
787,125,63,-0.4176388
788,125,77,-0.16376078
789,125,79,-0.11603285
790,125,106,-0.20748432
791,125,114,-0.38084698
792,125,118,0.10456045
793,126,0,0.00014492925
794,126,33,0.10908401
795,126,104,0.20880543
796,126,115,0.16169189
797,126,126,-0.22079745
798,127,3,-0.0018935413
799,127,9,0.22884876
800,127,23,4.7320456e-05
801,127,24,0.018477587
802,127,47,0.5772559
