Id,Source,Target,Weight
0,0,23,-0.21816863
1,0,25,0.19214281
2,0,52,-0.24423139
3,0,64,0.19599874
4,0,66,0.2558849
5,0,77,-0.24106595
6,0,81,0.20195244
7,0,97,0.2739401
8,0,124,-0.22836791
9,1,0,0.29365352
10,1,44,0.26667663
11,1,58,0.25568452
12,1,82,-0.22456162
13,1,111,-0.334148
14,2,12,-0.26649794
15,2,30,-0.23629892
16,2,57,-0.26054314
17,2,89,0.31955528
18,2,113,-0.20443451
19,2,116,-0.27606764
20,2,126,0.20887838
21,3,14,0.23405565
22,3,53,0.3393717
23,3,61,0.26772004
24,3,77,-0.23316155
25,3,102,-0.4027909
26,4,21,-0.26923084
27,4,58,-0.2900048
28,4,71,-0.31168097
29,4,98,-0.22832757
30,5,46,0.337857
31,5,77,0.31563124
32,5,87,0.30824324
33,5,124,-0.38689
34,6,12,0.20366216
35,6,68,-0.18609847
36,6,77,-0.27007097
37,6,80,-0.20260255
38,6,102,0.2810526
39,6,122,-0.233226
40,7,3,0.25349715
41,7,12,0.28898543
42,7,16,-0.24958737
43,7,49,0.2735068
44,7,77,0.24916457
45,7,98,-0.24145879
46,8,92,0.33071122
47,8,95,0.26492283
48,8,123,-0.24240234
49,9,21,0.2973048
50,9,93,-0.13401096
51,9,102,-0.2863057
52,9,113,-0.2893208
53,9,114,0.27720448
54,10,6,-0.22259244
55,10,9,0.15783775
56,10,52,-0.17493181
57,10,55,-0.347679
58,10,61,-0.3175688
59,10,90,0.21452022
60,10,95,0.2081958
61,11,3,0.22961068
62,11,34,-0.25002804
63,11,45,-0.23204683
64,11,47,0.31075293
65,11,80,-0.30247375
66,11,89,0.26011288
67,11,97,0.31465837
68,11,112,-0.22491835
69,11,115,-0.23416662
70,11,124,-0.20999628
71,12,10,0.22564514
72,12,12,0.2665436
73,12,20,-0.2771686
74,12,44,-0.31875047
75,12,64,0.27295455
76,12,75,-0.33743042
77,12,77,0.2715052
78,12,84,0.28047803
79,13,4,0.29583198
80,13,47,0.2646447
81,13,73,-0.20038912
82,13,102,-0.34798574
83,14,22,-0.25597656
84,14,37,-0.27166104
85,14,54,0.4086957
86,14,61,0.276455
87,14,63,0.20984963
88,15,32,-0.2581428
89,15,49,0.24654241
90,15,82,0.27959388
91,15,93,-0.27343994
92,15,104,-0.20864983
93,16,52,-0.40560025
94,16,58,0.3214506
95,16,59,0.19576216
96,16,92,-0.44535238
97,16,102,-0.23849103
98,16,108,0.41023013
99,17,7,-0.43758398
100,17,24,-0.22860067
101,17,53,-0.26246127
102,17,91,0.41276303
103,17,93,-0.28878093
104,17,98,0.28677663
105,18,10,-0.21911566
106,18,27,0.30252546
107,18,42,0.23712146
108,18,74,0.25527197
109,18,81,-0.24798235
