Id,Source,Target,Weight
0,0,4,0.4028367
1,0,19,0.697813
2,0,72,-0.30612814
3,0,101,0.35368785
4,0,143,0.3744754
5,1,6,0.043629795
6,1,39,0.13698165
7,1,51,0.31117955
8,1,72,-0.3989855
9,1,97,0.5891745
10,1,107,-0.20362416
11,2,45,0.4600107
12,2,75,-0.30033925
13,2,127,0.63573724
14,3,11,-0.14702569
15,3,94,-0.17801268
16,3,107,-0.5533017
17,3,108,0.2114791
18,3,136,-0.058868032
19,4,77,0.13202272
20,4,80,-0.11485528
21,4,91,0.43231517
22,4,127,0.4507928
23,5,5,0.48896337
24,5,11,-0.2894079
25,5,30,-0.22077335
26,5,42,0.44402495
27,5,80,-0.34980994
28,5,110,0.27677312
29,5,115,-0.33904287
30,5,121,-0.70288444
31,6,37,-0.048023194
32,6,40,0.4666576
33,6,52,-0.16299702
34,6,62,0.35340065
35,7,24,0.26707858
36,7,51,0.48893577
37,7,73,-0.048145115
38,7,130,-0.17297782
39,8,25,-0.015546308
40,8,66,0.06196481
41,8,67,0.1332143
42,8,104,0.08020487
43,8,118,-0.19318923
44,8,127,0.23699586
45,9,37,0.049678136
46,9,45,0.07745414
47,9,55,-0.1513086
48,9,68,-0.013881647
49,9,71,-0.018401744
50,9,84,0.33017308
51,9,113,-0.2101058
52,9,118,0.522928
53,9,121,0.38880086
54,10,1,-0.07575991
55,10,7,-0.15051709
56,10,9,-0.007806299
57,10,31,0.12412362
58,10,50,0.24694389
59,10,62,-0.06501079
60,10,73,0.111154474
61,10,75,-0.13362792
62,10,102,-0.12408818
63,10,120,-0.07069944
64,10,132,-0.08656054
65,11,10,0.19627135
66,11,53,-0.13786864
67,11,57,-0.2941035
68,11,63,0.35036385
69,11,74,-0.09227002
70,11,85,-0.4861787
71,11,113,-0.44072637
72,11,148,-0.7568255
73,12,9,-0.31844422
74,12,23,0.2151942
75,12,55,0.35148287
76,12,111,0.27909893
77,12,118,-0.49448332
78,12,127,0.2057269
79,12,135,0.0739326
80,13,1,-0.1580815
81,13,60,0.10818745
82,13,64,-0.6576807
83,13,99,0.11721014
84,13,118,0.26319468
85,13,122,0.16630356
86,14,21,-0.34010074
87,14,25,0.31955263
88,14,26,-0.07119589
89,14,41,-0.4449479
90,14,43,-0.32589337
91,14,45,-0.2513015
92,14,82,-0.40058458
93,14,84,0.14799513
94,14,88,0.2703783
95,14,99,-0.102715045
96,14,103,0.36278144
97,14,141,-0.33533195
98,15,84,-0.1479618
99,15,97,0.52919567
100,15,102,0.086462475
101,15,117,0.12309682
102,15,122,-0.25804734
103,16,22,0.21304421
104,16,85,-0.16149338
105,16,132,-0.06287022
106,16,142,0.15020865
107,17,5,-0.1970205
108,17,18,-0.027579878
109,17,20,0.6815722
110,17,40,-0.3703766
111,17,51,0.17621365
112,17,53,-0.08408609
113,17,90,-0.022705123
114,17,92,-0.1822766
115,17,96,0.16396312
116,17,99,0.4182046
117,18,0,-0.008965521
118,18,64,0.19280899
119,18,116,-0.14122047
120,18,129,-0.38539955
121,19,41,-0.016226834
122,19,48,0.4533392
123,19,56,-0.2983373
124,19,87,-0.3736063
125,19,94,-0.96017575
126,19,96,-0.17237367
127,19,136,-0.43542704
128,20,15,-0.40995938
129,20,36,-0.20308615
130,20,41,0.4119616
131,20,57,0.15309764
132,20,59,-0.23447947
133,20,88,0.718239
134,20,106,-0.42088166
135,20,114,0.27155957
136,20,126,-0.049435347
137,20,138,-0.70056355
138,20,142,0.46317092
139,20,147,0.28979352
140,21,16,-0.24338219
141,21,48,-0.037117176
142,21,82,0.27499512
143,21,85,-0.061185148
144,22,78,0.21113835
145,22,82,-0.0856968
146,22,116,-0.06471105
147,22,142,0.46431875
148,23,52,-0.1846074
149,23,55,0.50203013
150,23,104,-0.06445678
151,23,146,0.09826414
152,24,5,-0.16137204
153,24,9,0.08982454
154,24,60,0.41450036
155,24,76,-0.5915275
156,24,81,-0.34581125
157,24,120,-0.13090561
158,24,128,0.19609955
159,24,129,0.44355217
160,24,137,0.20897178
161,25,12,-0.17672653
162,25,18,0.5879146
163,25,32,-0.23418954
164,25,57,0.08700172
165,25,74,-0.1483486
166,25,104,0.035359863
167,26,93,0.4488906
168,26,143,-0.038695678
169,27,65,0.73746836
170,27,98,-0.55448806
171,27,113,-0.16152617
172,27,119,0.33545068
173,28,18,-0.25096887
174,28,29,-0.01581758
175,28,40,-0.083782166
176,28,74,-0.29766977
177,28,123,-0.1623301
178,28,135,-0.3372996
179,29,17,-0.48962653
180,29,18,0.105526835
181,29,29,0.500939
182,29,37,-0.09535821
183,29,81,0.07295948
184,29,94,-0.6930054
185,29,108,0.32516477
186,29,125,0.44713163
187,30,0,-0.16599825
188,30,11,0.21917748
189,30,37,0.35264674
190,30,47,0.15567403
191,30,85,-0.46383098
192,30,97,-0.07447144
193,30,110,-0.009866114
194,31,14,-0.080738895
195,31,32,0.48832068
196,31,33,-0.012130489
197,31,140,0.15285666
198,32,4,-0.32046592
199,32,22,-0.13000105
200,32,31,0.5435022
201,32,45,0.18861705
202,32,63,-0.27593008
203,32,64,0.07505789
204,32,73,0.24933258
205,32,122,0.42478728
206,32,125,0.2897045
207,33,7,-0.009863473
208,33,31,-0.22398946
209,33,85,-0.29240006
210,33,94,-0.16642861
211,33,142,0.40751714
212,34,3,0.45014384
213,34,34,0.3673775
214,34,39,-0.43066958
215,34,50,0.51295364
216,34,51,-0.09093103
217,34,92,-0.11462933
218,34,96,-0.28234863
219,34,111,-0.1277057
220,34,131,-0.15242462
221,35,74,-0.04712492
222,35,75,0.13593091
223,35,83,-0.09248341
224,35,126,0.7230838
225,35,144,-0.12982416
226,36,24,-0.5072405
227,36,63,-0.63713074
228,36,65,0.34953418
229,36,74,-0.35775423
230,36,101,0.09134787
231,36,114,-0.5424233
232,36,130,-0.30966017
233,36,136,-0.19403332
234,36,149,-0.35376665
235,37,11,0.45806378
236,37,20,-0.26168305
237,37,35,-0.12536497
238,37,67,-0.23415655
239,37,75,0.1897178
240,37,77,0.3891311
241,37,89,-0.21229804
242,37,95,-0.25124583
243,37,121,0.19676378
244,37,136,-0.16412528
245,37,148,-0.6550118
246,38,27,0.4917994
247,38,34,0.09474605
248,38,53,-0.18848315
249,38,66,0.094361074
250,38,81,-0.51135975
251,38,105,0.448023
252,38,119,-0.06905217
253,38,146,-0.22897175
254,38,147,-0.29796618
255,39,51,0.05850962
256,39,67,0.14544395
257,39,82,0.3704243
258,39,99,-0.6476174
259,40,34,-0.11875584
260,40,54,0.1909987
261,40,71,-0.1441733
262,40,79,-0.17953871
263,40,115,0.692228
264,40,141,0.7386828
265,41,1,-0.119720556
266,41,4,0.12288853
267,41,7,-0.018733617
268,41,38,-0.36083493
269,41,40,-0.16509882
270,41,79,0.38705355
271,41,147,0.4556488
272,42,17,0.3078595
273,42,21,-0.2625352
274,42,37,-0.36277944
275,42,38,-0.31516287
276,42,44,-0.14669594
277,42,53,0.3131748
278,42,83,-0.16260211
279,42,85,-0.17186187
280,42,94,-0.45694232
281,42,141,0.26036328
282,42,146,0.4271675
283,43,46,0.36536986
284,43,91,-0.23985054
285,43,128,-0.43589106
286,44,18,0.16877775
287,44,35,-0.09058917
288,44,36,-0.37224373
289,44,74,0.4068224
290,44,79,-0.68011737
291,44,85,0.16717762
292,44,92,-0.5017285
293,44,113,0.13749689
294,44,135,-0.22507048
295,44,139,0.3656495
296,44,148,0.27491972
297,45,35,0.09077214
298,45,42,0.39758068
299,45,64,0.09934726
300,45,72,-0.12451159
301,45,79,0.1685619
302,45,125,0.51757926
303,46,1,0.12034886
304,46,52,0.4794042
305,46,76,0.43066615
306,46,88,-0.2786327
307,46,90,-0.1372472
308,46,107,-0.33530325
309,46,142,-0.14159821
310,47,9,-0.11978519
311,47,84,-0.39753535
312,47,126,0.19400911
313,47,136,-0.15040252
314,47,141,0.083691925
315,48,29,0.4088279
316,48,43,0.34795406
317,48,79,-0.10372241
318,48,102,-0.116750695
319,48,120,0.2068701
320,49,23,-0.008773404
321,49,35,0.10098977
322,49,47,-0.22775748
323,49,104,0.12976749
324,49,120,-0.17618327
325,49,125,-0.21170352
326,50,15,0.47403288
327,50,27,-0.38621095
328,50,50,0.7679782
329,50,108,0.22889602
330,50,114,-0.34541544
331,50,132,-0.4448299
332,51,46,-0.60345995
333,51,67,0.53474444
334,52,18,-0.32216796
335,52,22,-0.008166163
336,52,47,-0.10088714
337,52,88,-0.25800905
338,52,126,-0.051041912
339,53,34,0.1301094
340,53,61,0.40506682
341,53,63,-0.2643111
342,53,90,-0.09450755
343,53,114,0.16212903
344,53,129,0.094968304
345,53,138,0.20166522
346,53,144,-0.102440976
347,54,71,-0.4630114
348,54,136,-0.35149598
349,54,145,0.058466934
350,55,41,-0.1354707
351,55,57,0.15745355
352,55,73,-0.30583358
353,55,81,0.42801717
354,55,126,-0.053453848
355,55,127,0.73805285
356,55,133,-0.14336371
357,56,0,-0.18481088
358,56,40,-0.39844307
359,56,55,-0.079508714
360,56,96,-0.33400336
361,57,79,-0.28333685
362,57,119,-0.19543228
363,57,124,-0.14958872
364,58,24,-0.25476655
365,58,31,0.42168102
366,58,96,0.35438704
367,58,100,0.10730421
368,58,113,-0.17282791
369,58,139,-0.2724218
370,59,26,-0.36515835
371,59,37,0.08838515
372,59,63,0.19386478
373,59,70,0.46401688
374,59,93,-0.095483765
375,59,107,-0.548854
376,59,127,-0.5244677
377,60,1,-0.10997772
378,60,14,0.32958385
379,60,25,0.20696492
380,60,38,0.4057955
381,60,46,-0.2799676
382,60,69,0.09805934
383,60,115,0.05754773
384,60,120,-0.120749906
385,60,141,0.2932438
386,61,39,0.7303435
387,61,115,-0.17022526
388,61,126,0.4785992
389,62,4,0.16859618
390,62,17,0.13991533
391,62,29,0.3561972
392,62,100,0.2547102
393,62,133,0.16063128
394,62,144,0.33963025
395,63,29,0.22740439
396,63,37,0.21968347
397,63,51,-0.66641825
398,63,100,-0.19028108
399,63,130,-0.3256253
400,64,35,0.21230339
401,64,43,-0.39262277
402,64,48,-0.046111986
403,64,94,0.44378316
404,64,103,0.17331879
405,64,127,0.29237548
406,65,29,-0.5624744
407,65,65,0.4926688
408,65,76,0.3100781
409,65,84,0.18697771
410,65,89,0.1066855
411,65,111,0.2548978
412,65,132,0.50492406
413,65,135,-0.26760843
414,65,147,0.4257016
415,66,3,0.252468
416,66,40,0.21318577
417,66,98,-0.29679903
418,66,117,0.074847154
419,67,20,0.2046865
420,67,62,0.23441984
421,67,72,-0.30240774
422,67,91,-0.11819782
423,67,104,-0.5851604
424,67,120,0.3978259
425,67,140,-0.019526204
426,67,141,0.20310277
427,68,6,0.1269859
428,68,23,-0.048981965
429,68,27,-0.29591447
430,68,110,0.18249764
431,68,121,-0.16802946
432,69,126,-0.6941233
433,70,8,-0.15108831
434,70,51,-0.120823175
435,70,85,-0.49700943
436,70,87,0.17381455
437,70,90,0.30697128
438,70,94,0.12918337
439,70,108,-0.30312884
440,70,144,-0.012142609
441,71,35,-0.015654044
442,71,40,-0.12406558
443,71,44,0.6475007
444,71,50,0.17643918
445,71,58,-0.36272103
446,71,62,-0.22112203
447,71,90,0.5356096
448,71,109,-0.44238147
449,71,111,-0.32039952
450,71,114,0.18725814
451,71,122,0.08906827
452,71,136,0.7905417
453,71,141,-0.20782374
454,72,117,0.16383857
455,72,126,-0.41264936
456,72,137,0.15131855
457,73,12,-0.2478632
458,73,39,0.24183153
459,73,42,0.45055136
460,73,86,-0.34787247
461,73,126,0.21853206
462,73,146,0.63972855
463,74,0,-0.17926314
464,74,5,-0.35582274
465,74,27,0.039730974
