Id,Source,Target,Weight
0,0,4,0.060114704
1,0,19,0.2311695
2,0,33,-0.035710588
3,0,43,-0.052619893
4,0,52,-0.0032843996
5,0,72,-0.2680713
6,0,143,0.11406389
7,1,6,0.14979385
8,1,36,0.17175908
9,1,41,-0.008758272
10,1,51,0.24582511
11,1,72,-0.15235716
12,1,97,0.2106975
13,2,45,0.26282984
14,2,75,-0.26796332
15,2,106,-0.00956513
16,2,127,0.14527106
17,3,0,0.020392314
18,3,3,-0.06327644
19,3,11,-0.20431356
20,3,46,-0.040127978
21,3,107,-0.20534751
22,3,108,0.20625761
23,3,136,-0.13221692
24,4,2,-0.0058102324
25,4,17,-0.008875547
26,4,23,-0.01272774
27,4,77,0.06243885
28,4,80,-0.084117
29,4,91,0.12844947
30,4,127,0.091151156
31,5,5,0.25509137
32,5,7,-0.05737239
33,5,11,-0.26831502
34,5,30,-0.2492699
35,5,31,0.12397333
36,5,42,0.2481625
37,5,80,-0.23731677
38,5,102,-0.07647648
39,5,110,0.28059098
40,5,115,-0.026228614
41,5,121,-0.48223427
42,6,26,-0.044287406
43,6,37,-0.25172648
44,6,40,0.27832258
45,6,44,-0.00013053608
46,6,52,-0.25738856
47,6,62,0.21608567
48,6,81,0.06420759
49,6,109,-0.0059398543
50,7,24,0.17182904
51,7,39,0.0036439556
52,7,51,0.27705285
53,7,73,-0.11557369
54,7,75,-0.109407
55,7,86,-0.119575016
56,7,130,-0.16752855
57,8,67,0.2001908
58,8,84,-0.0070903613
59,8,104,0.036714006
60,8,112,-0.012179412
61,8,118,-0.21573399
62,8,127,0.24574137
63,8,128,-0.09703846
64,9,6,0.0041268957
65,9,21,0.0035243807
66,9,37,0.18409371
67,9,71,-0.19358893
68,9,84,0.19460513
69,9,87,0.046253677
70,9,113,-0.30743164
71,9,116,0.02375312
72,9,118,0.37777877
73,9,121,0.4880155
74,10,5,0.04067079
75,10,31,0.19535503
76,10,50,0.35566834
77,10,73,0.19898778
78,10,82,0.006202769
79,10,91,0.016652657
80,10,102,-0.26897696
81,10,103,-0.006118138
82,10,120,-0.07758824
83,10,132,-0.19044939
84,11,10,0.29731628
85,11,36,-0.0078203315
86,11,50,-0.0011537825
87,11,53,-0.06947885
88,11,57,-0.37115282
89,11,63,0.30411652
90,11,74,-0.15944485
91,11,85,-0.2921375
92,11,99,0.005295804
93,11,113,-0.44584766
94,11,122,-0.03162457
95,11,131,0.0051836013
96,11,148,-0.5320692
97,12,9,-0.269751
98,12,23,0.13325459
99,12,48,-0.03482818
100,12,55,0.19662946
101,12,111,0.091256976
102,12,118,-0.3340752
103,12,127,0.20905475
104,13,23,0.013447765
105,13,60,0.093333095
106,13,64,-0.21285956
107,13,65,0.048321933
108,13,67,-0.11139385
109,13,92,-0.003635789
110,13,99,0.16695306
111,13,118,0.12177391
112,13,131,-0.02366528
113,14,21,-0.09680516
114,14,25,0.16096994
115,14,26,-0.15248436
116,14,41,-0.069836505
117,14,43,-0.15991879
118,14,45,-0.11643906
119,14,82,-0.2660934
120,14,84,0.118796274
121,14,88,0.26918268
122,14,99,-0.12637825
123,14,103,0.08779218
124,14,123,0.06285182
125,14,141,-0.21059482
126,15,0,0.03411232
127,15,49,0.0016258784
128,15,79,-0.0050967727
129,15,84,-0.15425293
130,15,97,0.21121645
131,15,101,0.19119999
132,15,117,0.058714744
133,16,21,-0.0034874787
134,16,22,0.08455377
135,16,98,-0.0023124074
136,16,102,-0.005047973
137,16,129,-0.00092115655
138,16,142,0.26726407
139,16,147,-0.084066786
140,17,5,-0.15586698
141,17,8,-0.053812023
142,17,20,0.28709537
143,17,40,-0.20668605
144,17,51,0.028308187
145,17,55,-0.19206579
146,17,70,0.006099867
147,17,90,-0.10929494
148,17,92,-0.1826412
149,17,96,0.14694338
150,17,99,0.12864147
151,18,60,0.029786667
152,18,64,0.27090535
153,18,129,-0.16882071
154,19,48,0.26938954
155,19,87,-0.16457966
156,19,94,-0.014985525
157,19,96,-0.109849975
158,19,136,-0.05072824
159,19,138,0.0025190464
160,20,15,-0.19821958
161,20,36,-0.07706259
162,20,37,0.002981728
163,20,39,-0.040914018
164,20,41,0.17187455
165,20,59,-0.13756177
166,20,88,0.45959926
167,20,106,-0.34064564
168,20,114,0.34279028
169,20,122,0.102315426
170,20,126,-0.3075214
171,20,138,-0.36181286
172,20,142,0.19940594
173,20,146,-0.008826832
174,21,8,0.010226032
175,21,43,-0.00037528604
176,21,48,-0.2328664
177,21,66,0.14062755
178,21,106,-0.065097764
179,22,61,0.10262555
180,22,78,0.15676318
181,22,142,0.32564908
182,23,52,-0.18787566
183,23,55,0.19740513
184,23,69,-0.0005683971
185,23,100,0.084816545
186,23,104,-0.04472035
187,23,114,0.0047736363
188,23,115,-0.0050255973
189,23,126,-0.003549206
190,23,135,0.061647687
191,23,146,0.19126038
192,24,5,-0.12486125
193,24,9,0.21905379
194,24,60,0.32194158
195,24,71,-0.1223654
196,24,76,-0.3555061
197,24,81,-0.2987786
198,24,120,-0.14096817
199,24,128,0.06464518
200,24,129,0.17247388
201,24,137,0.21014486
202,25,12,-0.15386374
203,25,18,0.0997324
204,25,32,-0.14930075
205,25,53,-0.0069018085
206,25,69,0.0037610447
207,25,104,0.030528672
208,26,85,0.18004043
209,26,93,0.18555449
210,26,143,-0.1714065
211,27,54,0.041436594
212,27,65,0.19259529
213,27,98,-0.3047537
214,27,113,-0.17478006
215,27,119,0.3410933
216,28,18,-0.11044175
217,28,40,-0.13218653
218,28,74,-0.14508322
219,28,82,-0.012656747
220,28,104,-0.011355109
221,28,135,-0.18737754
222,29,17,-0.18700188
223,29,18,0.044620402
224,29,37,-0.070013575
225,29,40,0.0048536584
226,29,42,0.080872625
227,29,48,-0.0021225715
228,29,51,-0.0032522758
229,29,81,0.1295333
230,29,94,-0.2810808
231,29,108,0.11547079
232,29,125,0.1541101
233,29,143,-0.033906873
234,30,0,-0.047894984
235,30,11,0.14853175
236,30,14,0.0026206532
237,30,24,0.024863543
238,30,37,0.27625418
239,30,47,0.114553556
240,30,72,0.1370959
241,30,76,0.21571495
242,30,97,-0.13664268
243,30,142,0.00044467545
244,31,14,-0.26495335
245,31,32,0.34908077
246,31,70,0.04036122
247,31,138,-0.004879033
248,31,140,0.15238915
249,32,4,-0.13889958
250,32,10,-0.009638794
251,32,19,0.11898222
252,32,31,0.19618616
253,32,41,-0.072123535
254,32,45,0.32050353
255,32,63,-0.0346785
256,32,73,0.20282485
257,32,122,0.3175071
258,32,125,0.16898584
259,32,139,0.063434504
260,33,31,-0.13404407
261,33,94,-0.06924343
262,33,142,0.20858318
263,34,3,0.3020557
264,34,39,-0.111439124
265,34,50,0.24894826
266,34,81,0.11463029
267,34,92,-0.0668456
268,34,96,-0.16116057
269,34,104,0.073241256
270,34,131,-0.09870562
271,34,135,-0.18328503
272,35,74,-0.05708639
273,35,75,0.19462168
274,35,107,-0.17720494
275,35,121,0.021205917
276,35,126,0.40526074
277,35,133,0.0015401437
278,35,147,-0.0015998766
279,36,24,-0.22497697
280,36,50,0.0026471906
281,36,63,-0.3886735
282,36,65,0.14834549
283,36,74,-0.1269023
284,36,85,-0.22670418
285,36,110,0.07963222
286,36,114,-0.26724437
287,36,130,-0.20264584
288,36,133,0.02579609
289,36,141,0.10121362
290,36,148,0.12185683
291,36,149,-0.14452748
292,37,11,0.19357789
293,37,20,-0.36709285
294,37,38,0.004815098
295,37,67,-0.26670384
296,37,75,0.2304168
297,37,76,-0.012707937
298,37,77,0.31176522
299,37,89,-0.09067892
300,37,95,-0.10352042
301,37,122,-0.061874047
302,37,136,-0.19450639
303,37,138,-0.005231511
304,37,146,-0.012371398
305,37,148,-0.47436917
306,38,27,0.31970453
307,38,66,0.025934657
308,38,72,0.25101104
309,38,81,-0.30635813
310,38,83,0.009945547
311,38,105,0.11871809
312,38,147,-0.15185444
313,39,65,-0.00434559
314,39,67,0.101851374
315,39,82,0.194833
316,39,99,-0.22923596
317,39,110,0.013015976
318,40,34,-0.24996966
319,40,37,-0.056603722
320,40,85,-0.09745854
321,40,93,-0.04982925
322,40,114,-0.006203062
323,40,115,0.16464733
324,40,141,0.49782276
325,41,9,0.013555195
326,41,30,-0.007832115
327,41,38,-0.108925655
328,41,92,0.11891792
329,41,141,0.012077851
330,42,17,0.13627513
331,42,19,0.18016307
332,42,37,-0.17791143
333,42,53,0.09983327
334,42,75,-0.054955322
335,42,83,-0.07233948
336,42,85,-0.105719835
337,42,94,-0.34897816
338,42,117,-0.031692356
339,42,127,-0.00038169938
340,42,141,0.1630471
341,43,1,0.0028068558
342,43,24,-0.007989164
343,43,46,0.072000764
344,43,85,0.02511351
345,43,89,0.0070263683
346,43,128,-0.04407225
347,43,146,-0.033130836
348,44,18,0.25466248
349,44,35,-0.13210477
350,44,36,-0.13569812
351,44,74,0.3588847
352,44,79,-0.51588017
353,44,85,0.13369519
354,44,92,-0.29763508
355,44,113,0.14544798
356,44,135,-0.27029166
357,44,139,0.15325426
358,44,148,0.08880105
359,45,42,0.043184288
360,45,64,0.13110802
361,45,79,0.11037495
362,45,102,-0.006383047
363,45,125,0.20012596
364,46,1,0.1972198
365,46,52,0.29634064
366,46,69,-0.0927693
367,46,76,0.27567637
368,46,86,-0.0042049517
369,46,88,-0.13010056
370,46,90,-0.19845663
371,46,100,0.0034130525
372,46,107,-0.23147218
373,46,142,-0.12506297
374,47,9,-0.12695986
375,47,48,0.123031
376,47,72,-0.008255679
377,47,84,-0.3918747
378,47,126,0.25642398
379,47,133,-0.004071418
380,47,136,-0.17535001
381,47,141,0.15706736
382,48,43,0.17228308
383,48,57,-0.01282708
384,48,98,-0.17191282
385,48,107,-0.2789272
386,48,112,0.009957409
387,48,120,0.1452831
388,49,35,0.06326154
389,49,47,-0.21231535
390,49,67,-0.10959807
391,49,93,0.0076734265
392,49,95,-0.0040112464
393,49,100,-0.11368762
394,49,104,0.17225754
395,49,120,-0.16018048
396,49,125,-0.14629003
397,50,15,0.26397
398,50,27,-0.11361931
399,50,50,0.3668045
400,50,92,0.07253309
401,50,101,0.0017083548
402,50,108,0.16688395
403,50,114,-0.2230644
404,50,132,-0.18554084
405,50,149,-0.0853297
406,51,46,-0.40352482
407,51,61,-0.052785326
408,51,67,0.31003085
409,51,76,-0.03862341
410,51,147,-0.063810155
411,52,18,-0.084811896
412,52,47,-0.0066557718
413,52,61,-0.033332083
414,52,75,0.16181748
415,52,88,-0.27783975
416,52,122,-0.0059013753
417,53,11,0.047827393
418,53,30,0.0022607981
419,53,34,0.106055126
420,53,61,0.05509653
421,53,63,-0.21569075
422,53,90,-0.19502859
423,53,97,0.083571635
424,53,109,-0.021129249
425,53,114,0.10890587
426,53,138,0.08907599
427,54,71,-0.24770586
428,54,101,-0.029416885
429,54,136,-0.10271676
430,54,145,0.09616844
431,55,41,-0.21165551
432,55,57,0.17751908
433,55,73,-0.10175988
434,55,79,-0.09438673
435,55,81,0.31273642
436,55,92,0.051808003
437,55,94,-0.008989379
438,55,121,-0.011565336
439,55,127,0.34695065
440,55,133,-0.06424966
441,55,134,-2.8595583e-05
442,56,0,-0.15511455
443,56,26,0.06846369
444,56,40,-0.29288176
445,56,96,-0.29264018
446,56,101,-0.06346496
447,56,125,0.06876308
448,56,134,0.009591334
449,57,72,-0.0035990316
450,57,79,-0.33900034
451,57,87,0.007841636
452,57,94,0.0058838567
453,57,119,-0.25769827
454,57,124,-0.014704145
455,58,20,-0.010880565
456,58,24,-0.2957262
457,58,31,0.2285425
458,58,81,0.11343595
459,58,96,0.27992323
460,58,100,0.13153403
461,58,121,-0.12843572
462,58,139,-0.07774473
463,58,143,-0.009408016
464,59,26,-0.010367574
465,59,37,0.062307213
466,59,63,0.1384211
467,59,70,0.2884475
468,59,73,-0.07776454
469,59,100,0.008763142
470,59,102,-0.17261522
471,59,107,-0.093939416
472,59,127,-0.11706651
473,59,131,-0.07879206
474,60,0,-0.060016748
475,60,1,-0.29664597
476,60,14,0.18361007
477,60,25,0.17862731
478,60,38,0.23398028
479,60,46,-0.111207336
480,60,69,0.17121603
481,60,113,0.0032857838
482,60,115,0.0409107
483,60,141,0.16603413
484,61,39,0.2662305
485,61,126,0.21797767
486,62,2,-0.0052370722
487,62,4,0.095327556
488,62,17,0.06636694
489,62,29,0.26749247
490,62,40,0.022664452
491,62,52,0.0015794837
492,62,53,-0.0011886014
493,62,100,0.13621612
494,62,112,-0.07831508
495,62,124,0.0016097132
496,62,128,-0.16547716
497,62,133,0.073311105
498,62,134,-0.03391192
499,62,144,0.18927166
500,63,23,0.008138122
501,63,29,0.20610125
502,63,37,0.13620056
503,63,40,0.005383053
504,63,41,0.172455
505,63,51,-0.42244512
506,63,57,0.056523222
507,63,63,0.026549082
508,63,67,0.0032774745
509,63,135,0.14335842
510,63,146,0.093490854
511,64,31,0.16322187
512,64,35,0.07477984
513,64,43,-0.10006264
514,64,94,0.157224
515,64,103,0.16849679
516,65,29,-0.24747023
517,65,76,0.09357003
