Id,Source,Target,Weight
0,0,12,-0.10720307
1,0,50,-0.2046451
2,1,19,0.47007772
3,1,28,0.47257373
4,2,8,-2.2219694
5,2,26,-0.7738164
6,2,49,-0.2401379
7,3,12,0.9560674
8,3,26,-0.8080743
9,3,32,-0.038237028
10,3,44,-0.6429931
11,4,31,-0.83197063
12,5,9,-0.07283915
13,5,27,-0.29476768
14,5,31,-0.028935473
15,6,13,-0.36324733
16,6,14,1.1934098
17,6,49,-1.0216215
18,6,55,-0.87606394
19,6,57,-0.6499207
20,7,32,0.3329891
21,7,34,1.1756463
22,7,43,-0.5144244
23,7,58,0.27825966
24,8,45,0.17898433
25,8,49,0.3108928
26,9,35,-0.19370157
27,10,6,0.1415119
28,10,18,0.36068547
29,10,34,-0.30731246
30,11,5,0.19344392
31,11,28,0.29474446
32,11,34,0.44131675
33,12,15,-0.048663333
34,13,15,-0.053603712
35,13,28,0.69620067
36,13,33,-0.2735432
37,13,36,-0.16267133
38,13,57,0.8639324
39,13,58,-0.56054133
40,13,59,0.17559758
41,14,12,-0.18586317
42,14,50,-0.18867216
43,15,2,-0.15662223
44,15,9,-0.38695922
45,15,13,-0.34293702
46,15,34,0.105263636
47,15,56,0.24875666
48,16,16,0.40527835
49,16,27,-0.41068307
50,17,22,-0.26391146
51,17,25,-0.025374515
52,17,47,-0.10369426
53,17,53,0.3439243
54,17,55,-0.01757529
55,17,57,0.40406138
56,18,8,-0.4154354
57,18,28,-0.7535549
58,18,56,0.7615142
59,19,24,0.41701254
60,19,34,0.021626279
61,19,35,1.3828427
62,19,38,0.8471041
63,19,62,2.2728853
64,20,9,-1.4984403
65,20,25,-0.6440042
66,20,29,0.45492247
67,20,35,-1.0100241
68,20,39,2.395897
69,20,54,-0.3180624
70,21,18,-0.408783
71,22,2,-0.55998135
72,22,16,-0.6159292
73,23,4,-0.1875427
74,24,10,2.6886425
75,24,15,-0.30585948
76,24,24,0.16656952
77,24,52,-1.6428686
78,24,56,-0.3671547
79,25,7,0.7343773
80,25,11,0.0058016176
81,25,54,0.36400646
82,26,35,0.32280564
83,26,39,0.8594372
84,26,43,-0.45337498
85,27,16,2.1140528
86,27,24,-0.35051033
87,27,25,-0.29333875
88,27,30,0.19776516
89,27,31,-0.0756279
90,27,58,-0.90923804
91,27,60,1.2186122
92,28,61,-0.57515305
93,29,18,-0.06415933
94,29,43,0.11668336
95,30,8,-0.40509963
96,30,21,0.25738382
97,30,40,2.318566
98,30,48,0.4395543
99,30,58,-0.1244151
100,30,60,0.07508689
101,30,61,0.21413523
102,31,24,1.080483
103,31,54,0.32918245
104,32,7,-1.5733753
105,32,9,-0.2448345
106,32,35,0.9335334
107,32,55,-0.2538424
108,33,40,0.13284984
109,33,63,0.013609331
110,34,23,-0.29207146
111,34,33,0.8777433
112,34,53,-1.070946
113,34,58,-0.23122442
114,34,60,-0.9459877
115,35,4,-0.80879927
116,35,7,-2.1487107
117,35,9,0.56127363
118,36,3,-0.35492972
119,36,45,0.8684442
120,36,49,-0.42834428
121,37,3,0.90742326
122,37,47,-0.6139201
123,37,50,-0.008932776
124,38,11,1.0801275
125,38,28,-1.0195847
126,38,39,0.49059296
127,39,21,-0.16693102
128,39,61,-0.27643967
129,40,9,-0.40203863
130,40,30,-0.20297341
131,41,31,-0.6869054
132,41,38,0.26087862
133,42,44,-1.6682972
134,42,52,-0.38792023
135,43,9,-0.7612884
136,43,11,-0.5004215
137,43,17,-2.6924472
138,43,29,0.65270865
139,43,30,0.25921664
140,43,55,-1.3869085
141,44,6,-0.31074232
142,44,17,-0.27743277
143,44,47,0.1307863
144,44,50,-0.20465913
145,44,56,0.5416479
146,45,16,0.4612539
147,45,30,-0.31369448
148,46,7,0.2384832
149,46,17,-2.9030046
150,46,18,-0.18930875
151,46,33,-0.8321634
152,46,54,0.91316825
153,46,57,0.66426814
154,47,10,0.2931609
155,47,20,-0.23835838
156,47,30,-0.037459094
157,47,35,0.23612903
158,48,2,-0.46952474
159,48,20,0.07755042
160,48,24,0.1644791
161,48,61,0.5547656
162,49,8,-0.07208265
163,49,31,0.3798019
164,49,34,-0.9694168
165,49,53,0.2929495
166,50,10,0.8228995
167,50,16,-1.955069
168,50,24,-0.35908595
169,51,1,0.061427884
170,51,14,-0.071302414
171,51,38,-0.17321938
172,51,57,0.20668375
173,52,5,0.108071305
174,52,19,-0.6955038
175,53,1,1.355372
176,53,5,-0.10611259
177,53,7,1.0467286
178,53,25,0.052076824
179,53,31,0.18463919
180,54,46,-1.044915
181,54,47,-0.978072
182,54,61,0.9330445
183,55,20,0.17117819
184,55,22,-1.194618
185,55,36,-0.6894985
186,55,37,0.15681446
187,55,44,0.048168927
188,55,52,-0.2233005
189,56,2,-0.0877018
190,56,20,-0.34811187
191,57,22,0.45457935
192,57,37,0.08366739
193,58,5,-0.5401086
194,58,14,0.3721473
195,59,24,-0.62935734
196,59,41,-0.16100109
197,59,44,0.65393054
198,60,61,-0.0521482
199,61,41,0.26710153
200,61,44,-0.3793019
201,62,14,-0.3092374
202,63,11,-0.33418158
203,63,20,1.21601
