Id,Source,Target,Weight
0,0,0,-0.106675185
1,0,1,0.088129684
2,0,2,-0.1916704
3,0,7,0.30909386
4,0,8,-0.11988571
5,0,9,-0.27207744
6,0,13,-0.20025684
7,0,14,-0.084900215
8,0,15,0.11924106
9,0,16,-0.18504657
10,0,17,0.3979204
11,0,18,-0.15999147
12,0,19,-0.072222695
13,0,20,-0.32052296
14,0,21,0.097592525
15,0,23,-0.16903038
16,0,24,-0.14194348
17,0,26,0.17330734
18,0,27,0.26134515
19,0,28,0.082337774
20,0,29,-0.10636457
21,0,30,0.12410131
22,0,31,0.112628035
23,0,32,0.22566503
24,0,34,-0.074853614
25,0,36,0.14273687
26,0,37,-0.3214244
27,0,38,0.16685483
28,0,39,0.27559426
29,0,42,-0.14853586
30,0,44,0.1439262
31,0,45,0.22914109
32,0,46,0.20242617
33,0,48,-0.07321836
34,0,50,-0.18743318
35,0,54,0.16188908
36,0,57,-0.11324535
37,0,58,-0.21597138
38,0,59,-0.22561347
39,0,60,-0.13059537
40,0,61,0.13925475
41,0,62,0.13632686
42,0,63,0.17395222
43,1,0,-0.12914705
44,1,1,-0.12365636
45,1,5,0.1342665
46,1,6,0.09568772
47,1,7,0.27402818
48,1,8,-0.1303132
49,1,9,-0.13646902
50,1,10,-0.19832271
51,1,11,-0.15046297
52,1,13,-0.19740164
53,1,14,0.11922656
54,1,15,0.24154037
55,1,16,-0.3644229
56,1,17,0.17687032
57,1,18,-0.30490944
58,1,19,0.07909278
59,1,20,0.15196452
60,1,23,-0.16791593
61,1,24,-0.12391149
62,1,27,0.111208916
63,1,29,-0.14178492
64,1,31,0.23174582
65,1,32,0.07961441
66,1,33,-0.17575793
67,1,34,0.18893804
68,1,35,-0.30782288
69,1,36,0.1496001
70,1,37,-0.099251814
71,1,39,0.1978203
72,1,40,0.20339733
73,1,42,-0.07810272
74,1,43,0.16639344
75,1,44,-0.27715093
76,1,46,-0.2774486
77,1,47,-0.096448444
78,1,48,0.17726964
79,1,51,-0.15598185
80,1,52,-0.06884016
81,1,54,0.06926217
82,1,59,-0.2223841
83,2,3,0.08070664
84,2,4,-0.34135628
85,2,6,-0.085404545
86,2,7,0.14441553
87,2,8,-0.14340936
88,2,9,-0.07308454
89,2,13,-0.41592303
90,2,14,0.114363134
91,2,15,0.21894997
92,2,16,-0.24693109
93,2,19,0.10328079
94,2,23,-0.46811032
95,2,24,-0.25163788
