Id,Source,Target,Weight
0,0,4,0.23248084
1,0,18,0.2732891
2,0,40,-0.32228097
3,0,72,-0.3180759
4,0,82,-0.15867518
5,0,85,0.078513175
6,1,26,0.22305329
7,1,58,-0.34399524
8,1,86,0.57624364
9,2,1,-0.35175285
10,2,8,-0.12648913
11,2,22,-0.051282387
12,2,34,-0.011359444
13,2,54,-0.19091061
14,2,57,-0.47399396
15,2,86,-0.22199814
16,2,87,-0.20532
17,3,36,-0.15826015
18,3,45,-0.23826547
19,3,98,0.071858644
20,4,27,-0.117509045
21,4,53,0.06635797
22,4,61,-0.3750471
23,4,72,0.16712789
24,4,96,-0.0841468
25,5,1,-0.16292484
26,5,6,0.14043544
27,5,18,0.12625837
28,5,43,-0.28627276
29,5,45,0.105420366
30,5,67,0.26208985
31,6,50,-0.23511674
32,6,77,0.38369894
33,6,80,0.32754546
34,6,91,-0.4813034
35,7,55,0.07919338
36,7,57,-0.03622328
37,7,61,-0.16944534
38,7,92,-0.022945251
39,8,18,-0.24485457
40,8,22,0.028866539
41,8,71,-0.1529747
42,8,96,0.22755465
43,9,9,0.019809602
44,9,52,0.50917107
45,9,62,0.1392888
46,9,93,-0.23919304
47,10,4,0.1923616
48,10,34,0.11721588
49,11,11,0.26707897
50,11,25,-0.41358224
51,11,29,-0.19705242
52,11,36,-0.1878171
53,11,59,-0.014604339
54,11,79,0.36206865
55,11,83,0.21621971
56,12,19,0.36861533
57,12,45,-0.01636737
58,12,63,-0.36919764
59,12,67,-0.16947412
60,13,18,0.15222177
61,13,27,-0.1276954
62,13,49,0.0060952352
63,13,63,0.20026995
64,14,37,-0.1402458
65,14,63,0.09556443
66,14,66,-0.107272156
67,14,85,0.16278367
68,15,5,-0.29615802
69,15,31,-0.363461
70,15,50,0.3293619
71,15,73,-0.19620864
72,15,82,0.30040824
73,16,24,-0.08663668
74,16,32,0.061259337
75,16,77,-0.088447556
76,16,79,-0.031536065
77,17,7,-0.19966991
78,17,31,0.16434543
79,17,35,-0.21834435
80,17,81,-0.3068659
81,17,88,0.06867111
82,17,98,-0.23198561
83,18,9,-0.38923836
84,18,10,-0.3636429
85,18,32,-0.013915695
86,18,40,-0.1652984
87,18,50,-0.20358483
88,18,55,-0.3367811
89,18,68,-0.0147535745
90,18,79,0.46911487
91,18,91,-0.23138376
92,18,95,0.13016847
93,18,96,-0.2815272
94,19,18,-0.43595657
95,19,27,0.24888183
96,20,14,0.5929062
97,20,19,-0.12780565
98,20,35,-0.30090332
99,20,42,-0.3569877
100,20,55,-0.22468935
101,20,58,0.28416765
102,20,77,0.092991345
103,20,82,-0.013451541
104,20,94,-0.34028375
105,21,26,-0.44116285
106,21,44,-0.30034253
107,21,88,0.31201997
108,22,3,0.23854463
109,22,99,-0.10062303
110,23,7,-0.2675417
111,23,34,0.20123748
112,23,47,0.16440283
113,23,67,0.06954718
114,24,75,-0.12253949
115,25,9,0.27332848
116,25,11,-0.32117352
117,25,19,0.0044337544
118,25,34,0.3135467
119,25,47,0.3899355
120,25,50,0.23683341
121,25,55,0.42907232
122,25,81,0.28268924
123,25,90,0.07767145
124,26,1,0.53758496
125,26,3,0.21996029
126,26,8,0.3297085
127,26,30,-0.3734812
128,26,42,0.485583
129,26,46,-0.4682907
130,26,49,0.44753748
131,26,60,0.016693395
132,26,83,-0.043616347
133,26,88,-0.023745527
134,26,95,-0.6787663
135,27,2,-0.14295909
136,27,41,0.18924706
137,27,64,-0.09710287
138,28,5,0.41696465
139,28,9,-0.29492247
140,28,29,-0.36517945
141,28,44,-0.038468774
142,28,64,0.29563165
143,29,22,0.34028906
144,29,28,-0.2307083
145,29,33,0.30083388
146,29,34,0.4513052
147,29,46,-0.45440337
148,29,56,0.4335042
149,29,58,-0.2225205
150,29,81,0.37953967
151,29,86,0.44036165
152,29,88,-0.20523353
153,29,89,0.17662619
154,29,97,0.35727683
155,30,40,-0.27434295
156,30,56,-0.07801196
157,30,59,-0.274666
158,30,87,-0.25182986
159,30,88,0.17872895
160,30,93,0.2963291
161,30,96,-0.18183686
162,31,31,-0.020665012
163,32,13,0.1579033
164,32,16,0.31686652
165,32,77,-0.20523445
166,33,0,-0.3360709
167,33,2,-0.33810058
168,33,6,-0.54871345
169,33,8,0.22377585
170,33,17,-0.30498478
171,33,18,-0.31038216
172,33,25,0.41457576
173,33,42,0.23624334
174,33,75,-0.17335705
175,34,11,-0.32649305
176,34,21,-0.46631896
177,34,26,0.3410389
178,34,42,0.2934479
179,35,2,-0.28892034
180,35,3,0.19079071
181,35,50,-0.028102614
182,35,59,0.32304385
183,35,96,0.25108233
184,36,9,-0.18595336
185,36,71,-0.13483918
186,36,76,0.2084547
187,36,81,-0.14797431
188,36,84,-0.20665306
189,36,92,0.0044037523
190,37,20,0.2171573
191,37,23,-0.061443932
192,37,29,-0.15129201
193,37,68,-0.068591364
194,37,86,0.1402064
195,37,91,-0.043969493
196,37,98,-0.054382227
197,38,29,-0.069842614
198,38,87,-0.07652331
199,39,41,0.15533285
200,40,2,-0.37683123
201,40,29,0.27807468
202,40,43,0.5388209
203,40,83,-0.40736097
204,40,85,-0.3405897
205,41,3,0.24115008
206,41,19,0.18426907
207,41,48,-0.265557
208,41,54,0.42264512
209,41,69,-0.12853959
210,41,93,-0.12470269
211,42,40,0.23706019
212,42,84,0.25954106
213,43,9,0.34205353
214,43,19,0.07331156
215,43,20,-0.5295763
216,43,23,0.09259221
217,43,28,-0.24364766
218,43,35,0.42705047
219,43,38,0.12926719
220,43,40,0.28662622
221,43,53,0.3098244
222,43,64,-0.22956541
223,43,67,-0.5143255
224,43,68,0.4445795
225,43,74,0.57945925
226,43,82,0.46082193
227,43,93,-0.4359569
228,44,35,0.052181166
229,44,44,-0.060901716
230,44,58,-0.2112235
231,45,0,0.19427127
232,45,76,0.12854858
233,46,33,-0.08499363
234,46,44,-0.1966687
235,46,47,-0.23582773
236,46,64,0.46176475
237,47,20,-0.31370863
238,47,24,0.24735983
239,47,46,-0.29562947
240,47,77,-0.25742444
241,47,90,-0.1679066
242,48,4,-0.20083216
243,48,19,-0.30104533
244,48,31,-0.26818413
245,48,41,0.10271913
246,48,45,0.11981378
247,48,92,-0.15220986
