Id,Source,Target,Weight
0,0,4,0.22025523
1,0,18,0.27077463
2,0,40,-0.32540187
3,0,51,0.004407088
4,0,72,-0.31512356
5,0,82,-0.1593096
6,0,85,0.07224034
7,1,26,0.22441228
8,1,58,-0.34747073
9,1,86,0.5890037
10,2,1,-0.37642914
11,2,8,-0.114628576
12,2,22,-0.040774584
13,2,54,-0.2008884
14,2,57,-0.4819823
15,2,86,-0.23953854
16,2,87,-0.20520733
17,3,21,-0.00058179337
18,3,36,-0.14948103
19,3,45,-0.2308779
20,3,98,0.07321891
21,4,27,-0.1203805
22,4,53,0.05741237
23,4,61,-0.41795892
24,4,72,0.15849914
25,4,96,-0.095679805
26,5,1,-0.16975622
27,5,6,0.15481818
28,5,18,0.12995467
29,5,24,-0.0154946605
30,5,43,-0.29444122
31,5,45,0.10751613
32,5,67,0.2741577
33,6,50,-0.24277686
34,6,77,0.40166757
35,6,80,0.33923328
36,6,91,-0.48556864
37,7,55,0.07609841
38,7,57,-0.039972432
39,7,61,-0.18755424
40,7,92,-0.005853856
41,8,18,-0.24900924
42,8,22,0.029601475
43,8,23,-0.0011994357
44,8,62,0.004612556
45,8,71,-0.15004356
46,8,96,0.2375046
47,9,9,0.03459685
48,9,52,0.5627487
49,9,62,0.16133152
50,9,93,-0.23489825
51,10,4,0.21099617
52,10,34,0.101576954
53,11,11,0.27774608
54,11,25,-0.4283122
55,11,28,-0.004322468
56,11,29,-0.19380906
57,11,36,-0.1784712
58,11,59,-0.03667457
59,11,79,0.37202743
60,11,83,0.22170238
61,12,19,0.3663905
62,12,63,-0.37493747
63,12,67,-0.16864856
64,13,3,0.0009369672
65,13,18,0.16077702
66,13,27,-0.120970204
67,13,49,-0.0005920638
68,13,63,0.19289303
69,14,37,-0.13609315
70,14,63,0.09871718
71,14,66,-0.108175725
72,14,85,0.15938836
73,15,5,-0.2979262
74,15,10,-0.0017665956
75,15,31,-0.3923796
76,15,50,0.3262654
77,15,73,-0.20524108
78,15,82,0.30202612
79,15,96,0.0017375812
80,16,24,-0.09454738
81,16,32,0.059298214
82,16,77,-0.09890342
83,16,79,-0.02938668
84,17,7,-0.17745142
85,17,31,0.22044373
86,17,35,-0.22876675
87,17,48,-0.015637126
88,17,81,-0.37553975
89,17,88,0.13378859
90,17,98,-0.23534606
91,18,5,0.0019210291
92,18,9,-0.37429067
93,18,10,-0.36598802
94,18,20,-0.0022547776
95,18,40,-0.162432
96,18,50,-0.19916175
97,18,55,-0.33302435
98,18,79,0.4694452
99,18,91,-0.23229761
100,18,95,0.12531245
101,18,96,-0.27335814
102,19,18,-0.4305145
103,19,27,0.24474198
104,20,14,0.615236
105,20,19,-0.12720837
106,20,35,-0.3063145
107,20,42,-0.36218905
108,20,55,-0.22950768
109,20,58,0.2936744
110,20,77,0.10626511
111,20,86,0.0016306724
112,20,94,-0.34278107
113,21,14,-0.01078848
114,21,26,-0.42300588
115,21,44,-0.27123788
116,21,88,0.30154413
117,22,3,0.24530135
118,22,99,-0.10809405
119,23,7,-0.26973075
120,23,34,0.19296315
121,23,47,0.16186607
122,23,51,0.0043282933
123,23,67,0.07151097
124,24,67,-0.025333192
125,24,75,-0.13377394
126,25,9,0.25083882
127,25,11,-0.32161292
128,25,34,0.318765
129,25,47,0.3848286
130,25,50,0.2359637
131,25,55,0.43370065
132,25,81,0.28614148
133,25,90,0.08367047
134,26,1,0.5402438
135,26,3,0.23266935
136,26,8,0.31270233
137,26,30,-0.37669954
138,26,42,0.49454868
139,26,46,-0.46052068
140,26,49,0.45641154
141,26,83,-0.042528648
142,26,88,-0.017024681
143,26,95,-0.68507254
144,27,2,-0.14569682
145,27,41,0.18417455
146,27,64,-0.07189286
147,27,74,-0.031073952
148,28,5,0.4137041
149,28,9,-0.2925375
150,28,29,-0.35027865
151,28,44,-0.03700664
152,28,53,0.0049925996
153,28,64,0.28913522
154,29,22,0.32916778
155,29,28,-0.22105785
156,29,33,0.29752454
157,29,34,0.4523325
158,29,46,-0.44253537
159,29,56,0.43395054
160,29,58,-0.21700992
161,29,81,0.37851202
162,29,86,0.4383547
163,29,88,-0.19504628
164,29,89,0.17672339
165,29,97,0.34787405
166,30,40,-0.26643
167,30,56,-0.07608435
168,30,59,-0.27475834
169,30,87,-0.249859
170,30,88,0.17930062
171,30,93,0.28427497
172,30,96,-0.15485062
173,32,13,0.15850501
174,32,16,0.334676
175,32,68,-0.0027874063
176,32,77,-0.22078419
177,33,0,-0.33780697
178,33,2,-0.32844537
179,33,6,-0.54401404
180,33,8,0.2105525
181,33,17,-0.30337253
182,33,18,-0.2967701
183,33,25,0.41015646
184,33,42,0.22677256
185,33,75,-0.16700597
186,33,88,-0.01780218
187,34,11,-0.330471
188,34,21,-0.46849233
189,34,26,0.3476332
190,34,42,0.29122993
191,35,2,-0.28587064
192,35,3,0.17878637
193,35,27,-0.0011110777
194,35,50,-0.029444454
195,35,59,0.3361191
196,35,90,0.014643832
197,35,96,0.25817072
198,36,9,-0.20637318
199,36,71,-0.12139653
200,36,76,0.22000477
201,36,81,-0.16392937
202,36,84,-0.20938869
203,36,89,0.0009244726
204,37,11,0.00075421477
205,37,20,0.21895453
206,37,23,-0.063235275
207,37,29,-0.15098578
208,37,55,0.00011087865
209,37,68,-0.0669171
210,37,86,0.13989978
211,37,91,-0.04009167
212,37,98,-0.05648118
213,38,29,-0.0731932
214,38,87,-0.07300926
215,39,21,-0.00029907143
216,39,41,0.16010377
217,40,2,-0.37147224
218,40,29,0.26475245
219,40,43,0.5256509
220,40,51,-0.005379661
221,40,83,-0.40105096
222,40,85,-0.33589512
