Id,Source,Target,Weight
0,0,60,0.26248032
1,0,71,-0.18508388
2,0,74,0.2644097
3,0,79,-0.22497049
4,1,0,0.3100651
5,1,22,0.20964028
6,1,25,-0.19666742
7,1,32,0.22593267
8,1,42,-0.19146138
9,1,63,-0.21471602
10,1,73,-0.21927863
11,1,79,-0.27607897
12,1,92,0.27719212
13,1,99,0.19901346
14,2,1,-0.20588607
15,2,13,-0.20483394
16,2,42,0.24896218
17,2,44,0.19894473
18,2,54,0.19946474
19,2,55,-0.22239436
20,2,57,-0.22519808
21,3,1,0.19045395
22,3,17,0.223793
23,3,34,0.21658194
24,3,48,0.29921344
25,3,75,-0.19594522
26,3,95,-0.25538725
27,4,3,-0.19005817
28,4,14,-0.19423525
29,4,24,0.33353478
30,4,28,0.20552552
31,4,31,-0.19994797
32,4,39,-0.18565993
33,4,41,0.22099985
34,4,57,0.28427526
35,4,61,-0.23988612
36,4,72,0.22284056
37,4,84,-0.22002602
38,4,89,-0.3104898
39,5,7,-0.19693811
40,5,15,0.28610617
41,5,24,-0.21209067
42,5,26,-0.19659658
43,5,33,0.21948694
44,5,42,-0.1998848
45,5,43,-0.22151177
46,5,44,0.23110323
47,5,50,0.23441213
48,5,72,-0.1855453
49,5,75,-0.21474925
50,5,78,0.20497306
51,5,84,0.21699762
52,5,93,-0.22439912
53,6,31,0.19753642
54,6,68,0.18591113
55,6,87,0.24134284
56,7,22,-0.24748676
57,7,35,0.2313105
58,7,39,-0.2599999
59,7,54,-0.19103666
60,7,70,0.25311235
61,7,84,0.21411932
62,8,2,-0.21612771
63,8,9,-0.21227044
64,8,10,-0.2694332
65,8,20,0.25135896
66,8,31,0.21121779
67,8,32,-0.21177007
68,8,35,-0.1847713
69,8,41,-0.21843608
70,8,71,-0.2095629
71,8,80,-0.23936674
72,8,82,0.186193
73,8,86,0.20460121
74,8,95,-0.23047358
75,9,2,-0.20695984
76,9,15,-0.35980886
77,9,20,-0.32355523
78,9,48,0.2768686
79,9,49,-0.19569467
80,9,52,0.18499877
81,9,58,-0.19770825
82,9,66,-0.20682654
83,9,88,-0.24398662
84,10,0,-0.2810921
85,10,17,0.2421863
86,10,22,-0.25341797
87,10,26,0.2961788
88,10,51,0.20847373
89,10,58,0.19361898
90,10,85,0.2030523
91,11,28,0.21648073
92,11,30,0.22026719
93,11,41,-0.21165714
94,11,47,0.21498117
95,11,66,0.18932937
96,11,71,-0.21863867
97,11,74,0.18513437
98,11,94,-0.2156357
99,12,22,-0.26514348
100,12,31,0.20984368
101,12,85,-0.2545944
102,13,6,0.21694021
103,13,7,0.29063
104,13,16,0.20109384
